script_fname,config_fname,log_fname,timeout
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0010-nltcs.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0010-nltcs,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0000-kdd.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0000-kdd,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0014-kosarek.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0014-kosarek,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0017-book.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0017-book,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0011-c20ng.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0011-c20ng,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0002-tmovie.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0002-tmovie,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0008-voting.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0008-voting,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0003-baudio.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0003-baudio,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0009-msweb.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0009-msweb,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0007-bbc.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0007-bbc,3600
