% 1. Title: Image Segmentation data
%
% 2. Source Information
%    -- Creators: Vision Group, University of Massachusetts
%    -- Donor: Vision Group (Carla Brodley, brodley@cs.umass.edu)
%    -- Date: November, 1990
%
% 3. Past Usage: None yet published
%
% 4. Relevant Information:
%
%    The instances were drawn randomly from a database of 7 outdoor
%    images.  The images were handsegmented to create a classification
%    for every pixel.
%
%    Each instance is a 3x3 region.
%
% 5. Number of Instances: Training data: 210  Test data: 2100
%
% 6. Number of Attributes: 19 continuous attributes
%
% 7. Attribute Information:
%
%     1.  region-centroid-col:  the column of the center pixel of the region.
%     2.  region-centroid-row:  the row of the center pixel of the region.
%     3.  region-pixel-count:  the number of pixels in a region = 9.
%     4.  short-line-density-5:  the results of a line extractoin algorithm that
%          counts how many lines of length 5 (any orientation) with
%          low contrast, less than or equal to 5, go through the region.
%     5.  short-line-density-2:  same as short-line-density-5 but counts lines
%          of high contrast, greater than 5.
%     6.  vedge-mean:  measure the contrast of horizontally
%          adjacent pixels in the region.  There are 6, the mean and
%          standard deviation are given.  This attribute is used as
%         a vertical edge detector.
%     7.  vegde-sd:  (see 6)
%     8.  hedge-mean:  measures the contrast of vertically adjacent
%           pixels. Used for horizontal line detection.
%     9.  hedge-sd: (see 8).
%     10. intensity-mean:  the average over the region of (R + G + B)/3
%     11. rawred-mean: the average over the region of the R value.
%     12. rawblue-mean: the average over the region of the B value.
%     13. rawgreen-mean: the average over the region of the G value.
%     14. exred-mean: measure the excess red:  (2R - (G + B))
%     15. exblue-mean: measure the excess blue:  (2B - (G + R))
%     16. exgreen-mean: measure the excess green:  (2G - (R + B))
%     17. value-mean:  3-d nonlinear transformation
%          of RGB. (Algorithm can be found in Foley and VanDam, Fundamentals
%          of Interactive Computer Graphics)
%     18. saturatoin-mean:  (see 17)
%     19. hue-mean:  (see 17)
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution:
%
%    Classes:  brickface, sky, foliage, cement, window, path, grass.
%
%    30 instances per class for training data.
%    300 instances per class for test data.
%
%
%
%
%
% Relabeled values in attribute class
%    From: 1                       To: brickface
%    From: 2                       To: sky
%    From: 3                       To: foliage
%    From: 4                       To: cement
%    From: 5                       To: window
%    From: 6                       To: path
%    From: 7                       To: grass
%
@RELATION segment

@ATTRIBUTE region-centroid-col REAL
@ATTRIBUTE region-centroid-row REAL
@ATTRIBUTE region-pixel-count REAL
@ATTRIBUTE short-line-density-5 REAL
@ATTRIBUTE short-line-density-2 REAL
@ATTRIBUTE vedge-mean REAL
@ATTRIBUTE vegde-sd REAL
@ATTRIBUTE hedge-mean REAL
@ATTRIBUTE hedge-sd REAL
@ATTRIBUTE intensity-mean REAL
@ATTRIBUTE rawred-mean REAL
@ATTRIBUTE rawblue-mean REAL
@ATTRIBUTE rawgreen-mean REAL
@ATTRIBUTE exred-mean REAL
@ATTRIBUTE exblue-mean REAL
@ATTRIBUTE exgreen-mean REAL
@ATTRIBUTE value-mean REAL
@ATTRIBUTE saturation-mean REAL
@ATTRIBUTE hue-mean REAL
@ATTRIBUTE class {brickface, sky, foliage, cement, window, path, grass}

@DATA
?,?,?,?,?,?,?,?,?,42.0741,38.7778,?,37.5556,?,?,?,?,?,-2.00326,cement
?,?,?,?,?,?,?,?,?,3.96296,1.44444,?,4.0,?,?,?,?,?,-2.61865,foliage
?,?,?,?,?,?,?,?,?,62.8148,53.7778,?,54.6667,?,?,?,?,?,-2.12621,cement
?,?,?,?,?,?,?,?,?,12.1481,9.77778,?,17.3333,?,?,?,?,?,2.04387,grass
?,?,?,?,?,?,?,?,?,18.6296,19.7778,?,13.8889,?,?,?,?,?,-1.33379,brickface
?,?,?,?,?,?,?,?,?,5.88889,3.22222,?,6.66667,?,?,?,?,?,-2.86995,foliage
?,?,?,?,?,?,?,?,?,0.888889,0.0,?,0.222222,?,?,?,?,?,-2.16176,foliage
?,?,?,?,?,?,?,?,?,51.2963,45.4444,?,44.1111,?,?,?,?,?,-2.0209,path
?,?,?,?,?,?,?,?,?,0.0740741,0.0,?,0.0,?,?,?,?,?,-2.0944,window
?,?,?,?,?,?,?,?,?,12.1852,6.66667,?,9.0,?,?,?,?,?,-2.26899,foliage
?,?,?,?,?,?,?,?,?,13.2222,10.3333,?,19.1111,?,?,?,?,?,2.0861,grass
?,?,?,?,?,?,?,?,?,53.7778,49.0,?,47.8889,?,?,?,?,?,-2.01738,cement
?,?,?,?,?,?,?,?,?,143.444,136.889,?,142.556,?,?,?,?,?,-2.52165,sky
?,?,?,?,?,?,?,?,?,22.5926,20.0,?,16.6667,?,?,?,?,?,-1.84249,brickface
?,?,?,?,?,?,?,?,?,44.8148,39.5556,?,39.8889,?,?,?,?,?,-2.11881,cement
?,?,?,?,?,?,?,?,?,15.037,13.7778,?,18.4444,?,?,?,?,?,1.91095,grass
?,?,?,?,?,?,?,?,?,55.8519,50.1111,?,48.3333,?,?,?,?,?,-2.00156,path
?,?,?,?,?,?,?,?,?,1.77778,0.444444,?,1.0,?,?,?,?,?,-2.23756,foliage
?,?,?,?,?,?,?,?,?,13.7037,10.6667,?,17.7778,?,?,?,?,?,2.38268,grass
?,?,?,?,?,?,?,?,?,60.2593,52.4444,?,52.1111,?,?,?,?,?,-2.07765,path
?,?,?,?,?,?,?,?,?,4.14815,3.88889,?,1.88889,?,?,?,?,?,-1.47564,brickface
?,?,?,?,?,?,?,?,?,34.7037,20.5556,?,26.2222,?,?,?,?,?,-2.25556,foliage
?,?,?,?,?,?,?,?,?,0.0,0.0,?,0.0,?,?,?,?,?,0.0,window
?,?,?,?,?,?,?,?,?,16.2963,13.5556,?,21.4444,?,?,?,?,?,2.14143,grass
?,?,?,?,?,?,?,?,?,24.8148,24.3333,?,18.5556,?,?,?,?,?,-1.62045,brickface
?,?,?,?,?,?,?,?,?,46.8519,42.8889,?,41.3333,?,?,?,?,?,-1.9708,cement
?,?,?,?,?,?,?,?,?,20.0,20.0,?,14.8889,?,?,?,?,?,-1.55762,brickface
?,?,?,?,?,?,?,?,?,14.4074,9.88889,?,10.4444,?,?,?,?,?,-2.13749,window
?,?,?,?,?,?,?,?,?,4.88889,2.22222,?,3.33333,?,?,?,?,?,-2.21647,foliage
