,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.20930232558139536,0.29259259259259257,RF,glass
1,0.1,1,0.20930232558139536,0.29259259259259257,RF,glass
2,0.2,2,0.18604651162790695,0.24843304843304845,RF,glass
3,0.3,3,0.20930232558139536,0.3291666666666667,RF,glass
4,0.4,4,0.20930232558139536,0.3291666666666667,RF,glass
5,0.5,5,0.16279069767441862,0.27424242424242423,RF,glass
6,0.6,6,0.16279069767441862,0.27424242424242423,RF,glass
7,0.7,7,0.11627906976744186,0.13333333333333333,RF,glass
8,0.8,8,0.0,0.0,RF,glass
0,0.0,0,0.72,0.6215704824976349,RF,credit-g
1,0.09523809523809523,1,0.69,0.562394127611519,RF,credit-g
2,0.19047619047619047,2,0.715,0.5881354095162398,RF,credit-g
3,0.2857142857142857,3,0.7,0.5698924731182796,RF,credit-g
4,0.38095238095238093,4,0.69,0.49642625081221575,RF,credit-g
5,0.47619047619047616,5,0.7,0.48051948051948057,RF,credit-g
6,0.5714285714285714,6,0.695,0.47771736803801523,RF,credit-g
7,0.6666666666666666,7,0.705,0.4580941446613089,RF,credit-g
8,0.7619047619047619,8,0.7100000000000001,0.47377971330067137,RF,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,RF,credit-g
0,0.0,0,0.9577464788732394,0.9532587228439764,RF,ionosphere
1,0.08571428571428572,1,0.9436619718309859,0.9382608695652175,RF,ionosphere
2,0.17142857142857143,2,0.9436619718309859,0.9370567375886525,RF,ionosphere
3,0.2857142857142857,3,0.9436619718309859,0.9370567375886525,RF,ionosphere
4,0.37142857142857144,4,0.9436619718309859,0.9370567375886525,RF,ionosphere
5,0.4857142857142857,5,0.8873239436619719,0.8682745825602969,RF,ionosphere
6,0.5714285714285714,6,0.7887323943661971,0.7156208277703605,RF,ionosphere
7,0.6571428571428571,7,0.7464788732394367,0.6369318181818182,RF,ionosphere
8,0.7714285714285715,8,0.7323943661971831,0.6079628015111886,RF,ionosphere
9,0.8571428571428571,9,0.647887323943662,0.39316239316239315,RF,ionosphere
0,0.0,0,0.8666666666666667,0.5790335790335791,RF,lymph
1,0.05263157894736842,1,0.8666666666666667,0.5790335790335791,RF,lymph
2,0.15789473684210525,2,0.7666666666666667,0.5096618357487922,RF,lymph
3,0.2631578947368421,3,0.8666666666666667,0.5790335790335791,RF,lymph
4,0.3684210526315789,4,0.8666666666666667,0.5790335790335791,RF,lymph
5,0.47368421052631576,5,0.7666666666666667,0.5145098039215686,RF,lymph
6,0.5263157894736842,6,0.7666666666666667,0.5145098039215686,RF,lymph
7,0.631578947368421,7,0.7666666666666667,0.5096618357487922,RF,lymph
8,0.7368421052631579,8,0.6666666666666666,0.434070434070434,RF,lymph
9,0.8421052631578947,9,0.8000000000000002,0.5414746543778802,RF,lymph
0,0.0,0,0.7058823529411765,0.6940075737039684,RF,vehicle
1,0.05263157894736842,1,0.7,0.6921690598711984,RF,vehicle
2,0.15789473684210525,2,0.6882352941176471,0.6754281537176274,RF,vehicle
3,0.2631578947368421,3,0.7058823529411765,0.6913279332351497,RF,vehicle
4,0.3684210526315789,4,0.7,0.6892857142857143,RF,vehicle
5,0.47368421052631576,5,0.6647058823529411,0.6433708675079055,RF,vehicle
6,0.5263157894736842,6,0.6176470588235294,0.593394941417674,RF,vehicle
7,0.631578947368421,7,0.6588235294117647,0.6404510749447458,RF,vehicle
8,0.7368421052631579,8,0.40588235294117647,0.3183687331338461,RF,vehicle
9,0.8421052631578947,9,0.3941176470588235,0.28377538334024033,RF,vehicle
0,0.0,0,0.9,0.899749373433584,RF,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,RF,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,RF,iris
3,0.6,6,0.3,0.24025974025974026,RF,iris
0,0.0,0,0.9482758620689655,0.940000121490926,RF,splice
1,0.0967741935483871,1,0.9420062695924765,0.9324363064558616,RF,splice
2,0.1935483870967742,2,0.9247648902821317,0.9122237240630336,RF,splice
3,0.2903225806451613,3,0.9216300940438872,0.9086109278562109,RF,splice
4,0.3870967741935484,4,0.9137931034482759,0.898503259026107,RF,splice
5,0.4838709677419355,5,0.8871473354231975,0.8649746515120297,RF,splice
6,0.5806451612903226,6,0.7460815047021945,0.6211661166116612,RF,splice
7,0.6774193548387096,7,0.6692789968652038,0.5015686274509804,RF,splice
8,0.7741935483870968,8,0.7194357366771159,0.5578451157217632,RF,splice
9,0.8709677419354839,9,0.7225705329153604,0.559670202446885,RF,splice
0,0.0,0,0.8571428571428571,0.8558352402745996,RF,sonar
1,0.09836065573770492,1,0.9047619047619048,0.9045454545454545,RF,sonar
2,0.19672131147540983,2,0.7857142857142857,0.7826336975273145,RF,sonar
3,0.29508196721311475,3,0.8571428571428571,0.8558352402745996,RF,sonar
4,0.39344262295081966,4,0.8095238095238095,0.8077803203661327,RF,sonar
5,0.4918032786885246,5,0.8333333333333334,0.8324786324786324,RF,sonar
6,0.5901639344262295,6,0.8095238095238095,0.8077803203661327,RF,sonar
7,0.6885245901639344,7,0.8333333333333334,0.8309373202990225,RF,sonar
8,0.7868852459016393,8,0.7857142857142857,0.7795918367346939,RF,sonar
9,0.8852459016393442,9,0.5238095238095238,0.34375000000000006,RF,sonar
0,0.0,0,0.9545454545454546,0.9532883506717522,RF,vowel
1,0.07142857142857142,1,0.9545454545454546,0.9526722684617421,RF,vowel
2,0.14285714285714285,2,0.9444444444444444,0.9426744197542161,RF,vowel
3,0.21428571428571427,3,0.9090909090909091,0.9071333808000006,RF,vowel
4,0.35714285714285715,4,0.8737373737373737,0.8689465093193852,RF,vowel
5,0.42857142857142855,5,0.7777777777777778,0.7750756148116852,RF,vowel
6,0.5,5,0.37373737373737376,0.3859371729891872,RF,vowel
7,0.6428571428571429,7,0.08585858585858586,0.07799123358895654,RF,vowel
8,0.7142857142857143,8,0.05555555555555555,0.049690200816425306,RF,vowel
9,0.7857142857142857,8,0.045454545454545456,0.04259653690457958,RF,vowel
0,0.0,0,0.987012987012987,0.9869600741781194,RF,segment
1,0.05,1,0.974025974025974,0.9739569167050083,RF,segment
2,0.15,2,0.9761904761904762,0.9761687108559526,RF,segment
3,0.25,3,0.9567099567099567,0.9565401132211516,RF,segment
4,0.35,4,0.9502164502164502,0.9501153249933597,RF,segment
5,0.45,5,0.9134199134199135,0.913383797500803,RF,segment
6,0.55,6,0.9134199134199135,0.9135035856815515,RF,segment
7,0.65,7,0.9090909090909091,0.9092318433004933,RF,segment
8,0.75,8,0.2878787878787879,0.1848147119588953,RF,segment
9,0.85,9,0.28354978354978355,0.15944600628921113,RF,segment
0,0.0,0,0.9047619047619048,0.7414965986394558,RF,zoo
1,0.05555555555555555,1,0.9523809523809523,0.9439775910364147,RF,zoo
2,0.16666666666666666,2,0.8571428571428571,0.6441102756892231,RF,zoo
