,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7674418604651162,0.6917562724014337,it,glass
1,0.1,1,0.7906976744186046,0.7025089605734767,it,glass
2,0.2,2,0.7209302325581395,0.5667812579577286,it,glass
3,0.3,3,0.7209302325581395,0.562265658614543,it,glass
4,0.4,4,0.5813953488372093,0.423444976076555,it,glass
5,0.5,5,0.5348837209302325,0.3598310291858679,it,glass
6,0.6,6,0.3488372093023256,0.16524216524216523,it,glass
7,0.7,7,0.5116279069767442,0.5283068783068783,it,glass
8,0.8,8,0.27906976744186046,0.14642857142857144,it,glass
0,0.0,0,0.755,0.645940966075364,it,credit-g
1,0.09523809523809523,1,0.755,0.6711299036880433,it,credit-g
2,0.19047619047619047,2,0.7,0.6319470003680531,it,credit-g
3,0.2857142857142857,3,0.7,0.6319470003680531,it,credit-g
4,0.38095238095238093,4,0.7100000000000001,0.6610565684899485,it,credit-g
5,0.47619047619047616,5,0.715,0.6446273262882259,it,credit-g
6,0.5714285714285714,6,0.7250000000000001,0.6570965429096918,it,credit-g
7,0.6666666666666666,7,0.7299999999999999,0.6687523003312477,it,credit-g
8,0.7619047619047619,8,0.75,0.6018474279343844,it,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,it,credit-g
0,0.0,0,0.9436619718309859,0.9370567375886525,it,ionosphere
1,0.08571428571428572,1,0.9154929577464789,0.9073913043478261,it,ionosphere
2,0.17142857142857143,2,0.8732394366197183,0.8645325418698324,it,ionosphere
3,0.2857142857142857,3,0.8732394366197183,0.8645325418698324,it,ionosphere
4,0.37142857142857144,4,0.9154929577464789,0.9089743589743589,it,ionosphere
5,0.4857142857142857,5,0.8732394366197183,0.8664576802507836,it,ionosphere
6,0.5714285714285714,6,0.8873239436619719,0.8765217391304347,it,ionosphere
7,0.6571428571428571,7,0.8873239436619719,0.8713768115942029,it,ionosphere
8,0.7714285714285715,8,0.7464788732394367,0.6369318181818182,it,ionosphere
9,0.8571428571428571,9,0.8732394366197183,0.8623141564318035,it,ionosphere
0,0.0,0,0.8333333333333334,0.8799171842650103,it,lymph
1,0.05263157894736842,1,0.8000000000000002,0.8578431372549019,it,lymph
2,0.15789473684210525,2,0.8333333333333334,0.8799171842650103,it,lymph
3,0.2631578947368421,3,0.7666666666666667,0.8318840579710144,it,lymph
4,0.3684210526315789,4,0.6666666666666666,0.434070434070434,it,lymph
