,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7906976744186046,0.6981101335940045,sklearn,glass
1,0.1,1,0.8139534883720931,0.704494542196155,sklearn,glass
2,0.2,2,0.8139534883720931,0.704494542196155,sklearn,glass
3,0.3,3,0.6744186046511628,0.6376262626262627,sklearn,glass
4,0.4,4,0.6511627906976745,0.6064864919031586,sklearn,glass
5,0.5,5,0.5348837209302325,0.4050761066890099,sklearn,glass
6,0.6,6,0.5348837209302325,0.4050761066890099,sklearn,glass
7,0.7,7,0.5348837209302325,0.4050761066890099,sklearn,glass
8,0.8,8,0.3488372093023256,0.08620689655172414,sklearn,glass
0,0.0,0,0.72,0.6666666666666667,sklearn,credit-g
1,0.09523809523809523,1,0.67,0.5993200582807188,sklearn,credit-g
2,0.19047619047619047,2,0.675,0.6033562166285278,sklearn,credit-g
3,0.2857142857142857,3,0.685,0.6451803666469544,sklearn,credit-g
4,0.38095238095238093,4,0.685,0.6477987421383647,sklearn,credit-g
5,0.47619047619047616,5,0.655,0.6052518664721531,sklearn,credit-g
6,0.5714285714285714,6,0.65,0.6100713012477719,sklearn,credit-g
7,0.6666666666666666,7,0.65,0.6100713012477719,sklearn,credit-g
8,0.7619047619047619,8,0.67,0.6239316239316239,sklearn,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,sklearn,credit-g
0,0.0,0,0.8591549295774648,0.8505892255892256,sklearn,ionosphere
1,0.08571428571428572,1,0.8450704225352113,0.8344286622853508,sklearn,ionosphere
2,0.17142857142857143,2,0.7183098591549296,0.7137096774193549,sklearn,ionosphere
3,0.2857142857142857,3,0.704225352112676,0.7004219409282701,sklearn,ionosphere
4,0.37142857142857144,4,0.7746478873239436,0.7668308702791462,sklearn,ionosphere
5,0.4857142857142857,5,0.7605633802816902,0.716466995536763,sklearn,ionosphere
6,0.5714285714285714,6,0.7464788732394367,0.6766194331983806,sklearn,ionosphere
7,0.6571428571428571,7,0.7464788732394367,0.6766194331983806,sklearn,ionosphere
8,0.7714285714285715,8,0.7323943661971831,0.6249652488184598,sklearn,ionosphere
9,0.8571428571428571,9,0.676056338028169,0.5016783643576442,sklearn,ionosphere
0,0.0,0,0.7666666666666667,0.5145098039215686,sklearn,lymph
1,0.05263157894736842,1,0.7666666666666667,0.5145098039215686,sklearn,lymph
2,0.15789473684210525,2,0.8333333333333334,0.5607843137254902,sklearn,lymph
3,0.2631578947368421,3,0.8333333333333334,0.5607843137254902,sklearn,lymph
4,0.3684210526315789,4,0.8333333333333334,0.5607843137254902,sklearn,lymph
5,0.47368421052631576,5,0.7333333333333333,0.49615975422427033,sklearn,lymph
6,0.5263157894736842,6,0.7333333333333333,0.49615975422427033,sklearn,lymph
7,0.631578947368421,7,0.7,0.4682352941176471,sklearn,lymph
8,0.7368421052631579,8,0.7,0.4682352941176471,sklearn,lymph
9,0.8421052631578947,9,0.7,0.4682352941176471,sklearn,lymph
0,0.0,0,0.7294117647058823,0.733484646389551,sklearn,vehicle
1,0.05263157894736842,1,0.6882352941176471,0.6923757093650149,sklearn,vehicle
2,0.15789473684210525,2,0.6411764705882353,0.6546844754161828,sklearn,vehicle
3,0.2631578947368421,3,0.5058823529411764,0.5226361534332549,sklearn,vehicle
4,0.3684210526315789,4,0.5294117647058824,0.5460286411408405,sklearn,vehicle
5,0.47368421052631576,5,0.37647058823529406,0.32286955981871235,sklearn,vehicle
6,0.5263157894736842,6,0.37647058823529406,0.32286955981871235,sklearn,vehicle
7,0.631578947368421,7,0.37058823529411766,0.31750803926249416,sklearn,vehicle
8,0.7368421052631579,8,0.37058823529411766,0.31750803926249416,sklearn,vehicle
9,0.8421052631578947,9,0.2411764705882353,0.15387941685198914,sklearn,vehicle
0,0.0,0,0.9333333333333333,0.9333333333333332,sklearn,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,sklearn,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,sklearn,iris
3,0.6,6,0.3333333333333333,0.16666666666666666,sklearn,iris
0,0.0,0,1.0,1.0,sklearn,splice
1,0.0967741935483871,1,1.0,1.0,sklearn,splice
2,0.1935483870967742,2,1.0,1.0,sklearn,splice
3,0.2903225806451613,3,1.0,1.0,sklearn,splice
4,0.3870967741935484,4,1.0,1.0,sklearn,splice
5,0.4838709677419355,5,1.0,1.0,sklearn,splice
6,0.5806451612903226,6,1.0,1.0,sklearn,splice
7,0.6774193548387096,7,1.0,1.0,sklearn,splice
8,0.7741935483870968,8,1.0,1.0,sklearn,splice
9,0.8709677419354839,9,1.0,1.0,sklearn,splice
0,0.0,0,0.6904761904761905,0.6888888888888889,sklearn,sonar
1,0.09836065573770492,1,0.5476190476190477,0.39682539682539686,sklearn,sonar
2,0.19672131147540983,2,0.5952380952380952,0.5159322033898306,sklearn,sonar
3,0.29508196721311475,3,0.5714285714285714,0.47500000000000003,sklearn,sonar
4,0.39344262295081966,4,0.5714285714285714,0.47500000000000003,sklearn,sonar
5,0.4918032786885246,5,0.5714285714285714,0.47500000000000003,sklearn,sonar
6,0.5901639344262295,6,0.5476190476190477,0.45898305084745766,sklearn,sonar
7,0.6885245901639344,7,0.5238095238095238,0.34375000000000006,sklearn,sonar
8,0.7868852459016393,8,0.5238095238095238,0.34375000000000006,sklearn,sonar
9,0.8852459016393442,9,0.5238095238095238,0.34375000000000006,sklearn,sonar
0,0.0,0,0.7676767676767676,0.7692857607718289,sklearn,vowel
1,0.07142857142857142,1,0.7424242424242424,0.7453213258908207,sklearn,vowel
2,0.14285714285714285,2,0.7121212121212122,0.7130923262888073,sklearn,vowel
3,0.21428571428571427,3,0.41414141414141414,0.3866124007380471,sklearn,vowel
4,0.35714285714285715,4,0.36868686868686873,0.3141892299324694,sklearn,vowel
5,0.42857142857142855,5,0.3383838383838384,0.3002741632396772,sklearn,vowel
6,0.5,5,0.15151515151515152,0.0808178804783219,sklearn,vowel
7,0.6428571428571429,7,0.09090909090909091,0.015151515151515154,sklearn,vowel
8,0.7142857142857143,8,0.09090909090909091,0.015151515151515154,sklearn,vowel
9,0.7857142857142857,8,0.09090909090909091,0.015151515151515154,sklearn,vowel
0,0.0,0,0.9437229437229437,0.9431043098078247,sklearn,segment
1,0.05,1,0.9437229437229437,0.9431043098078247,sklearn,segment
2,0.15,2,0.945887445887446,0.9450656931217332,sklearn,segment
3,0.25,3,0.8138528138528138,0.8021485937427733,sklearn,segment
4,0.35,4,0.7142857142857143,0.6744621833328966,sklearn,segment
5,0.45,5,0.45670995670995673,0.3816409568831331,sklearn,segment
6,0.55,6,0.4588744588744589,0.3811147931893296,sklearn,segment
7,0.65,7,0.3333333333333333,0.20226045299368783,sklearn,segment
8,0.75,8,0.2813852813852814,0.1421464108031272,sklearn,segment
9,0.85,9,0.2813852813852814,0.1421464108031272,sklearn,segment
0,0.0,0,0.9047619047619048,0.7333333333333334,sklearn,zoo
1,0.05555555555555555,1,0.9047619047619048,0.7333333333333334,sklearn,zoo
2,0.16666666666666666,2,0.5238095238095238,0.5065759637188209,sklearn,zoo
3,0.2777777777777778,3,0.3333333333333333,0.35395081109366827,sklearn,zoo
4,0.3333333333333333,4,0.3333333333333333,0.35395081109366827,sklearn,zoo
5,0.4444444444444444,5,0.3333333333333333,0.35395081109366827,sklearn,zoo
6,0.5555555555555556,6,0.19047619047619047,0.14442700156985872,sklearn,zoo
7,0.6111111111111112,7,0.19047619047619047,0.14442700156985872,sklearn,zoo
8,0.7222222222222222,8,0.047619047619047616,0.01680672268907563,sklearn,zoo
9,0.8333333333333334,9,0.047619047619047616,0.012987012987012986,sklearn,zoo
0,0.0,0,0.7592592592592593,0.758513931888545,sklearn,heart-statlog
1,0.07142857142857142,1,0.6296296296296297,0.6291208791208791,sklearn,heart-statlog
2,0.14285714285714285,2,0.6111111111111112,0.609907120743034,sklearn,heart-statlog
3,0.21428571428571427,3,0.6481481481481481,0.6451054998270495,sklearn,heart-statlog
4,0.35714285714285715,4,0.6481481481481481,0.642134635507499,sklearn,heart-statlog
5,0.42857142857142855,5,0.6481481481481481,0.642134635507499,sklearn,heart-statlog
6,0.5,5,0.6481481481481481,0.642134635507499,sklearn,heart-statlog
7,0.6428571428571429,7,0.6481481481481481,0.642134635507499,sklearn,heart-statlog
8,0.7142857142857143,8,0.4444444444444444,0.30769230769230765,sklearn,heart-statlog
9,0.7857142857142857,8,0.4444444444444444,0.30769230769230765,sklearn,heart-statlog
0,0.0,0,0.774,0.7742241109288832,sklearn,waveform-5000
1,0.0975609756097561,1,0.764,0.7632382278547379,sklearn,waveform-5000
2,0.1951219512195122,2,0.712,0.7094250350206303,sklearn,waveform-5000
3,0.2926829268292683,3,0.664,0.6570459382617068,sklearn,waveform-5000
4,0.3902439024390244,4,0.611,0.6060339919761718,sklearn,waveform-5000
5,0.4878048780487805,5,0.59,0.5829824496491164,sklearn,waveform-5000
6,0.5853658536585366,6,0.522,0.4792130560082675,sklearn,waveform-5000
7,0.6829268292682927,7,0.522,0.4792130560082675,sklearn,waveform-5000
8,0.7804878048780488,8,0.504,0.4601472252906303,sklearn,waveform-5000
9,0.8780487804878049,9,0.473,0.37304954571598853,sklearn,waveform-5000
0,0.0,0,0.9859375,0.985900012484364,sklearn,kr-vs-kp
1,0.08108108108108109,1,0.871875,0.8714217113064613,sklearn,kr-vs-kp
2,0.1891891891891892,2,0.85,0.8496696843650599,sklearn,kr-vs-kp
3,0.2702702702702703,3,0.7640625000000001,0.7607772758215237,sklearn,kr-vs-kp
4,0.3783783783783784,4,0.7453125,0.7402901321702156,sklearn,kr-vs-kp
5,0.4864864864864865,5,0.759375,0.7545205479452055,sklearn,kr-vs-kp
6,0.5675675675675675,6,0.7546875,0.749395811458258,sklearn,kr-vs-kp
7,0.6756756756756757,7,0.7453125,0.7382675782475068,sklearn,kr-vs-kp
8,0.7567567567567568,8,0.75,0.7399193343560463,sklearn,kr-vs-kp
9,0.8648648648648649,9,0.65625,0.6493150684931508,sklearn,kr-vs-kp
0,0.0,0,0.6818181818181818,0.6353003721424774,sklearn,diabetes
1,0.1111111111111111,2,0.6883116883116883,0.6446153846153846,sklearn,diabetes
2,0.2222222222222222,3,0.7142857142857143,0.6707482993197278,sklearn,diabetes
3,0.3333333333333333,4,0.6883116883116883,0.6606060606060605,sklearn,diabetes
4,0.4444444444444444,5,0.6753246753246753,0.6075433231396534,sklearn,diabetes
5,0.5555555555555556,6,0.6688311688311688,0.5856502242152467,sklearn,diabetes
6,0.6666666666666666,7,0.7077922077922078,0.5960361410667444,sklearn,diabetes
7,0.7777777777777778,8,0.7337662337662337,0.6509866784589022,sklearn,diabetes
0,0.0,0,0.82875,0.8303941913470395,sklearn,letter
1,0.058823529411764705,1,0.77425,0.7755615183097416,sklearn,letter
2,0.17647058823529413,2,0.57125,0.5496201892959092,sklearn,letter
3,0.23529411764705882,3,0.46525,0.4376793503233069,sklearn,letter
4,0.35294117647058826,4,0.28675,0.2530558755625211,sklearn,letter
5,0.47058823529411764,5,0.15925,0.08891311605600476,sklearn,letter
6,0.5294117647058824,6,0.111,0.046803786409969024,sklearn,letter
7,0.6470588235294118,7,0.10000000000000002,0.04072941048570712,sklearn,letter
8,0.7058823529411765,8,0.09474999999999999,0.03431927534729437,sklearn,letter
9,0.8235294117647058,9,0.0405,0.005335180866908086,sklearn,letter
0,0.0,0,0.856,0.6070790477570138,sklearn,balance-scale
1,0.2,2,0.7840000000000001,0.5517619047619048,sklearn,balance-scale
2,0.4,4,0.704,0.6207938254142874,sklearn,balance-scale
3,0.6,6,0.64,0.4402116402116402,sklearn,balance-scale
