,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7674418604651162,0.6917562724014337,mrai,glass
1,0.1,1,0.7906976744186046,0.7025089605734767,mrai,glass
2,0.2,2,0.7209302325581395,0.5667812579577286,mrai,glass
3,0.3,3,0.7209302325581395,0.562265658614543,mrai,glass
4,0.4,4,0.5813953488372093,0.423444976076555,mrai,glass
5,0.5,5,0.6744186046511628,0.6207160894660894,mrai,glass
6,0.6,6,0.6744186046511628,0.6207160894660894,mrai,glass
7,0.7,7,0.46511627906976744,0.2690562613430127,mrai,glass
8,0.8,8,0.3023255813953488,0.12072072072072071,mrai,glass
0,0.0,0,0.755,0.645940966075364,mrai,credit-g
1,0.09523809523809523,1,0.755,0.6711299036880433,mrai,credit-g
2,0.19047619047619047,2,0.7,0.6319470003680531,mrai,credit-g
3,0.2857142857142857,3,0.7,0.6319470003680531,mrai,credit-g
4,0.38095238095238093,4,0.695,0.6315423877261332,mrai,credit-g
5,0.47619047619047616,5,0.7299999999999999,0.6687523003312477,mrai,credit-g
6,0.5714285714285714,6,0.7299999999999999,0.6687523003312477,mrai,credit-g
7,0.6666666666666666,7,0.7299999999999999,0.6687523003312477,mrai,credit-g
8,0.7619047619047619,8,0.74,0.5596205962059622,mrai,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,mrai,credit-g
0,0.0,0,0.9436619718309859,0.9370567375886525,mrai,ionosphere
1,0.08571428571428572,1,0.9154929577464789,0.9073913043478261,mrai,ionosphere
2,0.17142857142857143,2,0.8732394366197183,0.8645325418698324,mrai,ionosphere
3,0.2857142857142857,3,0.8732394366197183,0.8645325418698324,mrai,ionosphere
4,0.37142857142857144,4,0.9154929577464789,0.9089743589743589,mrai,ionosphere
5,0.4857142857142857,5,0.8732394366197183,0.8623141564318035,mrai,ionosphere
6,0.5714285714285714,6,0.8450704225352113,0.8250839865621501,mrai,ionosphere
7,0.6571428571428571,7,0.7887323943661971,0.742815744989133,mrai,ionosphere
8,0.7714285714285715,8,0.7746478873239436,0.6906318082788672,mrai,ionosphere
9,0.8571428571428571,9,0.7323943661971831,0.6079628015111886,mrai,ionosphere
0,0.0,0,0.8333333333333334,0.8799171842650103,mrai,lymph
