,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7906976744186046,0.6981101335940045,rw,glass
1,0.1,1,0.8139534883720931,0.704494542196155,rw,glass
2,0.2,2,0.8139534883720931,0.704494542196155,rw,glass
3,0.3,3,0.6976744186046512,0.5507714057409797,rw,glass
4,0.4,4,0.7441860465116278,0.6914576802507838,rw,glass
5,0.5,5,0.6046511627906976,0.4627240143369175,rw,glass
6,0.6,6,0.627906976744186,0.4732758620689655,rw,glass
7,0.7,7,0.4418604651162791,0.35425685425685427,rw,glass
8,0.8,8,0.3488372093023256,0.1396103896103896,rw,glass
0,0.0,0,0.72,0.6666666666666667,rw,credit-g
1,0.09523809523809523,1,0.65,0.5909303412809724,rw,credit-g
2,0.19047619047619047,2,0.69,0.627359057579036,rw,credit-g
3,0.2857142857142857,3,0.685,0.6267661956811518,rw,credit-g
4,0.38095238095238093,4,0.715,0.6363752352397053,rw,credit-g
5,0.47619047619047616,5,0.7100000000000001,0.590626764539808,rw,credit-g
6,0.5714285714285714,6,0.675,0.5901510135880703,rw,credit-g
7,0.6666666666666666,7,0.685,0.6194618102745312,rw,credit-g
8,0.7619047619047619,8,0.7100000000000001,0.6579785352046232,rw,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,rw,credit-g
0,0.0,0,0.8732394366197183,0.8645325418698324,rw,ionosphere
1,0.08571428571428572,1,0.8732394366197183,0.8645325418698324,rw,ionosphere
2,0.17142857142857143,2,0.8450704225352113,0.8367816091954023,rw,ionosphere
3,0.2857142857142857,3,0.8309859154929577,0.8207070707070707,rw,ionosphere
4,0.37142857142857144,4,0.7605633802816902,0.7535225648356136,rw,ionosphere
5,0.4857142857142857,5,0.7464788732394367,0.7221739130434783,rw,ionosphere
6,0.5714285714285714,6,0.7183098591549296,0.6619047619047619,rw,ionosphere
7,0.6571428571428571,7,0.7323943661971831,0.6742332769862353,rw,ionosphere
8,0.7714285714285715,8,0.7323943661971831,0.6249652488184598,rw,ionosphere
9,0.8571428571428571,9,0.676056338028169,0.5016783643576442,rw,ionosphere
0,0.0,0,0.8000000000000002,0.5392385392385393,rw,lymph
1,0.05263157894736842,1,0.8000000000000002,0.5392385392385393,rw,lymph
2,0.15789473684210525,2,0.8000000000000002,0.5392385392385393,rw,lymph
3,0.2631578947368421,3,0.7666666666666667,0.38819875776397517,rw,lymph
4,0.3684210526315789,4,0.7666666666666667,0.38819875776397517,rw,lymph
5,0.47368421052631576,5,0.7333333333333333,0.4888888888888889,rw,lymph
6,0.5263157894736842,6,0.7333333333333333,0.4888888888888889,rw,lymph
7,0.631578947368421,7,0.7,0.45363408521303256,rw,lymph
