,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.16279069767441862,0.2111111111111111,wekaJ48,glass
1,0.1,1,0.16279069767441862,0.2111111111111111,wekaJ48,glass
2,0.2,2,0.13953488372093023,0.12250712250712249,wekaJ48,glass
3,0.3,3,0.13953488372093023,0.12250712250712249,wekaJ48,glass
4,0.4,4,0.13953488372093023,0.12433862433862435,wekaJ48,glass
5,0.5,5,0.02325581395348837,0.020202020202020204,wekaJ48,glass
6,0.6,6,0.0,0.0,wekaJ48,glass
7,0.7,7,0.04651162790697674,0.03571428571428572,wekaJ48,glass
8,0.8,8,0.0,0.0,wekaJ48,glass
0,0.0,0,0.715,0.6557035426293377,wekaJ48,credit-g
1,0.09523809523809523,1,0.69,0.6196785670469881,wekaJ48,credit-g
2,0.19047619047619047,2,0.7100000000000001,0.6321664129883309,wekaJ48,credit-g
3,0.2857142857142857,3,0.75,0.6829020801623541,wekaJ48,credit-g
4,0.38095238095238093,4,0.75,0.6470920383963862,wekaJ48,credit-g
5,0.47619047619047616,5,0.7250000000000001,0.630860095976375,wekaJ48,credit-g
6,0.5714285714285714,6,0.7250000000000001,0.630860095976375,wekaJ48,credit-g
7,0.6666666666666666,7,0.7250000000000001,0.630860095976375,wekaJ48,credit-g
8,0.7619047619047619,8,0.715,0.6225040564257094,wekaJ48,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,wekaJ48,credit-g
0,0.0,0,0.9295774647887324,0.9235078646843353,wekaJ48,ionosphere
1,0.08571428571428572,1,0.9295774647887324,0.9235078646843353,wekaJ48,ionosphere
2,0.17142857142857143,2,0.9436619718309859,0.9370567375886525,wekaJ48,ionosphere
3,0.2857142857142857,3,0.9295774647887324,0.9220978714066271,wekaJ48,ionosphere
4,0.37142857142857144,4,0.9436619718309859,0.9370567375886525,wekaJ48,ionosphere
5,0.4857142857142857,5,0.8028169014084506,0.7563725490196078,wekaJ48,ionosphere
6,0.5714285714285714,6,0.8028169014084506,0.7563725490196078,wekaJ48,ionosphere
7,0.6571428571428571,7,0.8028169014084506,0.7563725490196078,wekaJ48,ionosphere
8,0.7714285714285715,8,0.8028169014084506,0.7563725490196078,wekaJ48,ionosphere
9,0.8571428571428571,9,0.8028169014084506,0.7484817813765182,wekaJ48,ionosphere
0,0.0,0,0.7,0.671957671957672,wekaJ48,lymph
1,0.05263157894736842,1,0.7,0.671957671957672,wekaJ48,lymph
2,0.15789473684210525,2,0.7666666666666667,0.7286160841148054,wekaJ48,lymph
3,0.2631578947368421,3,0.7666666666666667,0.7286160841148054,wekaJ48,lymph
4,0.3684210526315789,4,0.7666666666666667,0.7286160841148054,wekaJ48,lymph
5,0.47368421052631576,5,0.7333333333333333,0.7110559691204852,wekaJ48,lymph
6,0.5263157894736842,6,0.7,0.46215780998389694,wekaJ48,lymph
7,0.631578947368421,7,0.7666666666666667,0.5029239766081871,wekaJ48,lymph
8,0.7368421052631579,8,0.8000000000000002,0.5414746543778802,wekaJ48,lymph
9,0.8421052631578947,9,0.8000000000000002,0.5414746543778802,wekaJ48,lymph
0,0.0,0,0.7176470588235294,0.713651556466637,wekaJ48,vehicle
1,0.05263157894736842,1,0.6941176470588235,0.6896804256379034,wekaJ48,vehicle
2,0.15789473684210525,2,0.6529411764705882,0.644634367865939,wekaJ48,vehicle
3,0.2631578947368421,3,0.6529411764705882,0.6323598269909925,wekaJ48,vehicle
4,0.3684210526315789,4,0.6588235294117647,0.6359045756792429,wekaJ48,vehicle
5,0.47368421052631576,5,0.4411764705882353,0.37813449848024316,wekaJ48,vehicle
6,0.5263157894736842,6,0.4470588235294118,0.38204217159025333,wekaJ48,vehicle
7,0.631578947368421,7,0.5117647058823529,0.4210490154199867,wekaJ48,vehicle
8,0.7368421052631579,8,0.3823529411764706,0.32330070344944484,wekaJ48,vehicle
9,0.8421052631578947,9,0.37058823529411766,0.2893692564745196,wekaJ48,vehicle
0,0.0,0,0.9666666666666667,0.9665831244778613,wekaJ48,iris
1,0.2,2,0.6,0.5,wekaJ48,iris
2,0.4,4,0.6,0.5,wekaJ48,iris
3,0.6,6,0.3333333333333333,0.16666666666666666,wekaJ48,iris
0,0.0,0,0.9216300940438872,0.9103397541531416,wekaJ48,splice
1,0.0967741935483871,1,0.9216300940438872,0.9103397541531416,wekaJ48,splice
2,0.1935483870967742,2,0.9247648902821317,0.9146082675494441,wekaJ48,splice
3,0.2903225806451613,3,0.9263322884012539,0.9168349163433347,wekaJ48,splice
4,0.3870967741935484,4,0.9263322884012539,0.9166954054836367,wekaJ48,splice
5,0.4838709677419355,5,0.8871473354231975,0.8701001324781146,wekaJ48,splice
6,0.5806451612903226,6,0.8244514106583072,0.8158143204634972,wekaJ48,splice
7,0.6774193548387096,7,0.7021943573667712,0.5685831615935024,wekaJ48,splice
8,0.7741935483870968,8,0.7304075235109717,0.5612424756393628,wekaJ48,splice
9,0.8709677419354839,9,0.7304075235109717,0.5612424756393628,wekaJ48,splice
0,0.0,0,0.8809523809523809,0.8803418803418803,wekaJ48,sonar
1,0.09836065573770492,1,0.8571428571428571,0.8568181818181818,wekaJ48,sonar
2,0.19672131147540983,2,0.6904761904761905,0.6576802507836992,wekaJ48,sonar
3,0.29508196721311475,3,0.6190476190476191,0.6155606407322655,wekaJ48,sonar
4,0.39344262295081966,4,0.6190476190476191,0.6155606407322655,wekaJ48,sonar
5,0.4918032786885246,5,0.6190476190476191,0.6155606407322655,wekaJ48,sonar
6,0.5901639344262295,6,0.7142857142857143,0.7136363636363636,wekaJ48,sonar
7,0.6885245901639344,7,0.7619047619047619,0.7597254004576658,wekaJ48,sonar
8,0.7868852459016393,8,0.4523809523809524,0.45207033465683494,wekaJ48,sonar
9,0.8852459016393442,9,0.4523809523809524,0.45207033465683494,wekaJ48,sonar
0,0.0,0,0.7828282828282829,0.7819469368655426,wekaJ48,vowel
1,0.07142857142857142,1,0.7373737373737375,0.7354072478893138,wekaJ48,vowel
2,0.14285714285714285,2,0.7222222222222222,0.7201939781868801,wekaJ48,vowel
3,0.21428571428571427,3,0.40404040404040403,0.364974413769783,wekaJ48,vowel
4,0.35714285714285715,4,0.3484848484848485,0.2995362987816942,wekaJ48,vowel
5,0.42857142857142855,5,0.3484848484848485,0.3035121471406079,wekaJ48,vowel
