,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.20930232558139536,0.29259259259259257,wekaRF,glass
1,0.1,1,0.20930232558139536,0.29259259259259257,wekaRF,glass
2,0.2,2,0.18604651162790695,0.24843304843304845,wekaRF,glass
3,0.3,3,0.20930232558139536,0.29259259259259257,wekaRF,glass
4,0.4,4,0.20930232558139536,0.3291666666666667,wekaRF,glass
5,0.5,5,0.18604651162790695,0.325,wekaRF,glass
6,0.6,6,0.18604651162790695,0.325,wekaRF,glass
7,0.7,7,0.11627906976744186,0.22083333333333333,wekaRF,glass
8,0.8,8,0.0,0.0,wekaRF,glass
0,0.0,0,0.67,0.5712058212058212,wekaRF,credit-g
1,0.09523809523809523,1,0.68,0.5841995841995842,wekaRF,credit-g
2,0.19047619047619047,2,0.705,0.5736840203764586,wekaRF,credit-g
3,0.2857142857142857,3,0.7250000000000001,0.6025867986560208,wekaRF,credit-g
4,0.38095238095238093,4,0.69,0.5244669427826354,wekaRF,credit-g
5,0.47619047619047616,5,0.7100000000000001,0.5289148797920727,wekaRF,credit-g
6,0.5714285714285714,6,0.7,0.5126705653021443,wekaRF,credit-g
7,0.6666666666666666,7,0.7250000000000001,0.5290894301982105,wekaRF,credit-g
8,0.7619047619047619,8,0.705,0.4580941446613089,wekaRF,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,wekaRF,credit-g
0,0.0,0,0.9436619718309859,0.9382608695652175,wekaRF,ionosphere
1,0.08571428571428572,1,0.9436619718309859,0.9382608695652175,wekaRF,ionosphere
2,0.17142857142857143,2,0.9436619718309859,0.9370567375886525,wekaRF,ionosphere
3,0.2857142857142857,3,0.9436619718309859,0.9370567375886525,wekaRF,ionosphere
4,0.37142857142857144,4,0.9295774647887324,0.9220978714066271,wekaRF,ionosphere
5,0.4857142857142857,5,0.8732394366197183,0.849894291754757,wekaRF,ionosphere
6,0.5714285714285714,6,0.8028169014084506,0.7395178197064991,wekaRF,ionosphere
7,0.6571428571428571,7,0.7605633802816902,0.6644425910480956,wekaRF,ionosphere
8,0.7714285714285715,8,0.7464788732394367,0.6369318181818182,wekaRF,ionosphere
9,0.8571428571428571,9,0.647887323943662,0.39316239316239315,wekaRF,ionosphere
0,0.0,0,0.8333333333333334,0.5522138680033417,wekaRF,lymph
1,0.05263157894736842,1,0.8666666666666667,0.5839598997493735,wekaRF,lymph
2,0.15789473684210525,2,0.7333333333333333,0.4888888888888889,wekaRF,lymph
3,0.2631578947368421,3,0.8000000000000002,0.523931623931624,wekaRF,lymph
4,0.3684210526315789,4,0.8000000000000002,0.523931623931624,wekaRF,lymph
5,0.47368421052631576,5,0.8000000000000002,0.523931623931624,wekaRF,lymph
6,0.5263157894736842,6,0.8000000000000002,0.5289473684210526,wekaRF,lymph
7,0.631578947368421,7,0.7333333333333333,0.47719298245614034,wekaRF,lymph
8,0.7368421052631579,8,0.6333333333333333,0.37306201550387597,wekaRF,lymph
9,0.8421052631578947,9,0.7333333333333333,0.4616079494128275,wekaRF,lymph
0,0.0,0,0.7411764705882353,0.7295006007788667,wekaRF,vehicle
1,0.05263157894736842,1,0.6941176470588235,0.6794891640866874,wekaRF,vehicle
2,0.15789473684210525,2,0.7,0.6854101255886971,wekaRF,vehicle
3,0.2631578947368421,3,0.6823529411764706,0.6647636815852468,wekaRF,vehicle
4,0.3684210526315789,4,0.6823529411764706,0.6703871160887689,wekaRF,vehicle
5,0.47368421052631576,5,0.6470588235294118,0.6305530713124182,wekaRF,vehicle
6,0.5263157894736842,6,0.6235294117647059,0.6062438125935306,wekaRF,vehicle
7,0.631578947368421,7,0.6,0.5796990456516449,wekaRF,vehicle
8,0.7368421052631579,8,0.4352941176470588,0.35767030570777225,wekaRF,vehicle
9,0.8421052631578947,9,0.3941176470588235,0.2919202426728035,wekaRF,vehicle
0,0.0,0,0.9,0.899749373433584,wekaRF,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,wekaRF,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,wekaRF,iris
3,0.6,6,0.3,0.24025974025974026,wekaRF,iris
0,0.0,0,0.8871473354231975,0.8704638085482008,wekaRF,splice
1,0.0967741935483871,1,0.8793103448275863,0.8605956153090902,wekaRF,splice
2,0.1935483870967742,2,0.8714733542319749,0.8509503270407607,wekaRF,splice
3,0.2903225806451613,3,0.8793103448275863,0.857229075141943,wekaRF,splice
4,0.3870967741935484,4,0.8887147335423197,0.8721348318057999,wekaRF,splice
5,0.4838709677419355,5,0.877742946708464,0.8567495984868866,wekaRF,splice
6,0.5806451612903226,6,0.768025078369906,0.7110119061341104,wekaRF,splice
7,0.6774193548387096,7,0.6880877742946708,0.5729312389816389,wekaRF,splice
8,0.7741935483870968,8,0.5564263322884012,0.32727272727272727,wekaRF,splice
9,0.8709677419354839,9,0.5266457680250783,0.2500043769805837,wekaRF,splice
0,0.0,0,0.8095238095238095,0.8090909090909092,wekaRF,sonar
1,0.09836065573770492,1,0.7857142857142857,0.7846153846153846,wekaRF,sonar
2,0.19672131147540983,2,0.7857142857142857,0.7826336975273145,wekaRF,sonar
3,0.29508196721311475,3,0.8095238095238095,0.8077803203661327,wekaRF,sonar
4,0.39344262295081966,4,0.7619047619047619,0.7597254004576658,wekaRF,sonar
5,0.4918032786885246,5,0.7619047619047619,0.7569444444444444,wekaRF,sonar
6,0.5901639344262295,6,0.7142857142857143,0.7083333333333333,wekaRF,sonar
7,0.6885245901639344,7,0.7857142857142857,0.7795918367346939,wekaRF,sonar
8,0.7868852459016393,8,0.7857142857142857,0.7795918367346939,wekaRF,sonar
9,0.8852459016393442,9,0.5476190476190477,0.39682539682539686,wekaRF,sonar
0,0.0,0,0.9444444444444444,0.9443072897618353,wekaRF,vowel
1,0.07142857142857142,1,0.9343434343434344,0.9350331752245628,wekaRF,vowel
2,0.14285714285714285,2,0.9292929292929293,0.9301783841257527,wekaRF,vowel
3,0.21428571428571427,3,0.8888888888888888,0.8867693863199705,wekaRF,vowel
4,0.35714285714285715,4,0.8434343434343435,0.837709650157085,wekaRF,vowel
5,0.42857142857142855,5,0.7525252525252525,0.7456002696689382,wekaRF,vowel
6,0.5,5,0.2777777777777778,0.2919988519323675,wekaRF,vowel
7,0.6428571428571429,7,0.09595959595959595,0.08913554405782897,wekaRF,vowel
8,0.7142857142857143,8,0.045454545454545456,0.043813249484928526,wekaRF,vowel
9,0.7857142857142857,8,0.050505050505050504,0.04593617364175098,wekaRF,vowel
0,0.0,0,0.9761904761904762,0.9759781099695235,wekaRF,segment
1,0.05,1,0.9696969696969697,0.9695427589068482,wekaRF,segment
2,0.15,2,0.9653679653679653,0.9651439683898928,wekaRF,segment
3,0.25,3,0.9502164502164502,0.9496388234040011,wekaRF,segment
4,0.35,4,0.9372294372294372,0.9365559315595696,wekaRF,segment
5,0.45,5,0.9025974025974026,0.9020893906893198,wekaRF,segment
6,0.55,6,0.8766233766233766,0.8782886414291677,wekaRF,segment
7,0.65,7,0.8246753246753247,0.8267516396644616,wekaRF,segment
8,0.75,8,0.3333333333333333,0.236110952829174,wekaRF,segment
9,0.85,9,0.28354978354978355,0.16274210938265748,wekaRF,segment
0,0.0,0,0.9047619047619048,0.7333333333333334,wekaRF,zoo
1,0.05555555555555555,1,0.9047619047619048,0.7333333333333334,wekaRF,zoo
2,0.16666666666666666,2,0.8571428571428571,0.6441102756892231,wekaRF,zoo
3,0.2777777777777778,3,0.8571428571428571,0.6441102756892231,wekaRF,zoo
4,0.3333333333333333,4,0.8571428571428571,0.6441102756892231,wekaRF,zoo
5,0.4444444444444444,5,0.8571428571428571,0.6441102756892231,wekaRF,zoo
6,0.5555555555555556,6,0.7142857142857143,0.367053998632946,wekaRF,zoo
7,0.6111111111111112,7,0.7142857142857143,0.367053998632946,wekaRF,zoo
8,0.7222222222222222,8,0.38095238095238093,0.07881773399014778,wekaRF,zoo
9,0.8333333333333334,9,0.38095238095238093,0.07881773399014778,wekaRF,zoo
0,0.0,0,0.7962962962962963,0.7928147889780259,wekaRF,heart-statlog
1,0.07142857142857142,1,0.6666666666666666,0.6548295454545454,wekaRF,heart-statlog
2,0.14285714285714285,2,0.7592592592592593,0.7523809523809525,wekaRF,heart-statlog
3,0.21428571428571427,3,0.7777777777777778,0.7727910238429173,wekaRF,heart-statlog
