,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7674418604651162,0.6442939244663383,it,glass
1,0.1,1,0.7674418604651162,0.6643155694879833,it,glass
2,0.2,2,0.627906976744186,0.538366571699905,it,glass
3,0.3,3,0.5348837209302325,0.4348484848484848,it,glass
4,0.4,4,0.4418604651162791,0.2865384615384615,it,glass
5,0.5,5,0.32558139534883723,0.15166666666666667,it,glass
6,0.6,6,0.32558139534883723,0.15166666666666667,it,glass
7,0.7,7,0.04651162790697674,0.014814814814814814,it,glass
8,0.8,8,0.16279069767441862,0.07614942528735631,it,glass
0,0.0,0,0.7250000000000001,0.6448748991121872,it,credit-g
1,0.09523809523809523,1,0.74,0.59375,it,credit-g
2,0.19047619047619047,2,0.7100000000000001,0.5551464948611751,it,credit-g
3,0.2857142857142857,3,0.715,0.5588064553581795,it,credit-g
4,0.38095238095238093,4,0.745,0.5977759375369691,it,credit-g
5,0.47619047619047616,5,0.74,0.5596205962059622,it,credit-g
6,0.5714285714285714,6,0.74,0.5596205962059622,it,credit-g
7,0.6666666666666666,7,0.74,0.5596205962059622,it,credit-g
8,0.7619047619047619,8,0.74,0.5596205962059622,it,credit-g
9,0.8571428571428571,9,0.7,0.4684620836286322,it,credit-g
0,0.0,0,0.9,0.9296969696969697,it,lymph
1,0.05263157894736842,1,0.9,0.9296969696969697,it,lymph
2,0.15789473684210525,2,0.9,0.9279503105590061,it,lymph
3,0.2631578947368421,3,0.8000000000000002,0.7597222222222223,it,lymph
4,0.3684210526315789,4,0.8000000000000002,0.7597222222222223,it,lymph
5,0.47368421052631576,5,0.7666666666666667,0.5195402298850574,it,lymph
6,0.5263157894736842,6,0.8000000000000002,0.5307125307125307,it,lymph
7,0.631578947368421,7,0.7,0.42670401493930904,it,lymph
8,0.7368421052631579,8,0.7,0.4682352941176471,it,lymph
9,0.8421052631578947,9,0.7,0.4682352941176471,it,lymph
0,0.0,0,0.7411764705882353,0.7339784063620058,it,vehicle
1,0.05263157894736842,1,0.7176470588235294,0.7101498219612771,it,vehicle
2,0.15789473684210525,2,0.7176470588235294,0.7127557482563694,it,vehicle
3,0.2631578947368421,3,0.6823529411764706,0.6678838951310861,it,vehicle
4,0.3684210526315789,4,0.6882352941176471,0.6757614008481959,it,vehicle
5,0.47368421052631576,5,0.5882352941176471,0.5832758716812253,it,vehicle
6,0.5263157894736842,6,0.5764705882352941,0.5740036677087926,it,vehicle
7,0.631578947368421,7,0.13529411764705881,0.11060116354234001,it,vehicle
8,0.7368421052631579,8,0.13529411764705881,0.11096031400365024,it,vehicle
9,0.8421052631578947,9,0.11764705882352941,0.07728365384615385,it,vehicle
0,0.0,0,0.9333333333333333,0.9333333333333332,it,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,it,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,it,iris
3,0.6,6,0.3333333333333333,0.16666666666666666,it,iris
0,0.0,0,1.0,1.0,it,splice
1,0.0967741935483871,1,1.0,1.0,it,splice
2,0.1935483870967742,2,1.0,1.0,it,splice
3,0.2903225806451613,3,1.0,1.0,it,splice
4,0.3870967741935484,4,1.0,1.0,it,splice
5,0.4838709677419355,5,1.0,1.0,it,splice
6,0.5806451612903226,6,1.0,1.0,it,splice
7,0.6774193548387096,7,1.0,1.0,it,splice
8,0.7741935483870968,8,1.0,1.0,it,splice
9,0.8709677419354839,9,1.0,1.0,it,splice
0,0.0,0,0.7142857142857143,0.7136363636363636,it,sonar
1,0.09836065573770492,1,0.7619047619047619,0.7613636363636364,it,sonar
2,0.19672131147540983,2,0.5476190476190477,0.39682539682539686,it,sonar
3,0.29508196721311475,3,0.5476190476190477,0.4589830508474576,it,sonar
4,0.39344262295081966,4,0.5476190476190477,0.39682539682539686,it,sonar
5,0.4918032786885246,5,0.5476190476190477,0.39682539682539686,it,sonar
6,0.5901639344262295,6,0.5,0.3713471133285816,it,sonar
7,0.6885245901639344,7,0.5238095238095238,0.34375000000000006,it,sonar
8,0.7868852459016393,8,0.47619047619047616,0.3225806451612903,it,sonar
9,0.8852459016393442,9,0.5714285714285714,0.5552941176470588,it,sonar
0,0.0,0,0.7828282828282829,0.782561039575258,it,vowel
1,0.07142857142857142,1,0.6868686868686869,0.6879974692670617,it,vowel
2,0.14285714285714285,2,0.696969696969697,0.6967207053143021,it,vowel
3,0.21428571428571427,3,0.31313131313131315,0.26590873449556396,it,vowel
4,0.35714285714285715,4,0.1919191919191919,0.17806438918159856,it,vowel
5,0.42857142857142855,5,0.16161616161616163,0.11474687083032481,it,vowel
6,0.5,5,0.07575757575757576,0.023755227823024437,it,vowel
7,0.6428571428571429,7,0.10606060606060608,0.034114339268978444,it,vowel
8,0.7142857142857143,8,0.09090909090909091,0.015151515151515154,it,vowel
9,0.7857142857142857,8,0.09090909090909091,0.015151515151515154,it,vowel
0,0.0,0,0.9372294372294372,0.9366927340484112,it,segment
