,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
0,0.0,0,0.7674418604651162,0.6442939244663383,sklearn,glass
1,0.1,1,0.7674418604651162,0.6643155694879833,sklearn,glass
2,0.2,2,0.627906976744186,0.538366571699905,sklearn,glass
3,0.3,3,0.5348837209302325,0.4348484848484848,sklearn,glass
4,0.4,4,0.4418604651162791,0.2865384615384615,sklearn,glass
5,0.5,5,0.32558139534883723,0.15166666666666667,sklearn,glass
6,0.6,6,0.32558139534883723,0.15166666666666667,sklearn,glass
7,0.7,7,0.04651162790697674,0.014814814814814814,sklearn,glass
8,0.8,8,0.04651162790697674,0.014814814814814814,sklearn,glass
0,0.0,0,0.7250000000000001,0.6448748991121872,sklearn,credit-g
1,0.09523809523809523,1,0.74,0.59375,sklearn,credit-g
2,0.19047619047619047,2,0.755,0.6135494301825781,sklearn,credit-g
3,0.2857142857142857,3,0.755,0.6135494301825781,sklearn,credit-g
4,0.38095238095238093,4,0.74,0.5596205962059622,sklearn,credit-g
5,0.47619047619047616,5,0.74,0.5596205962059622,sklearn,credit-g
6,0.5714285714285714,6,0.74,0.5596205962059622,sklearn,credit-g
7,0.6666666666666666,7,0.74,0.5596205962059622,sklearn,credit-g
8,0.7619047619047619,8,0.74,0.5596205962059622,sklearn,credit-g
9,0.8571428571428571,9,0.7,0.4117647058823529,sklearn,credit-g
0,0.0,0,0.9,0.9296969696969697,sklearn,lymph
1,0.05263157894736842,1,0.9,0.9296969696969697,sklearn,lymph
2,0.15789473684210525,2,0.9,0.9279503105590061,sklearn,lymph
3,0.2631578947368421,3,0.8000000000000002,0.7597222222222223,sklearn,lymph
4,0.3684210526315789,4,0.8000000000000002,0.7597222222222223,sklearn,lymph
5,0.47368421052631576,5,0.7666666666666667,0.5195402298850574,sklearn,lymph
6,0.5263157894736842,6,0.7666666666666667,0.5195402298850574,sklearn,lymph
7,0.631578947368421,7,0.7,0.4682352941176471,sklearn,lymph
8,0.7368421052631579,8,0.7,0.4682352941176471,sklearn,lymph
9,0.8421052631578947,9,0.7,0.4682352941176471,sklearn,lymph
0,0.0,0,0.7411764705882353,0.7339784063620058,sklearn,vehicle
1,0.05263157894736842,1,0.7176470588235294,0.7101498219612771,sklearn,vehicle
2,0.15789473684210525,2,0.7,0.6946650333699417,sklearn,vehicle
3,0.2631578947368421,3,0.711764705882353,0.7004456614106317,sklearn,vehicle
4,0.3684210526315789,4,0.7058823529411765,0.6947198879551821,sklearn,vehicle
5,0.47368421052631576,5,0.5882352941176471,0.5832758716812253,sklearn,vehicle
6,0.5263157894736842,6,0.5764705882352941,0.5726617680565049,sklearn,vehicle
7,0.631578947368421,7,0.12352941176470589,0.11040059739866909,sklearn,vehicle
8,0.7368421052631579,8,0.13529411764705881,0.11096031400365024,sklearn,vehicle
9,0.8421052631578947,9,0.11764705882352941,0.07728365384615385,sklearn,vehicle
0,0.0,0,0.9333333333333333,0.9333333333333332,sklearn,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,sklearn,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,sklearn,iris
3,0.6,6,0.3333333333333333,0.16666666666666666,sklearn,iris
0,0.0,0,1.0,1.0,sklearn,splice
1,0.0967741935483871,1,1.0,1.0,sklearn,splice
2,0.1935483870967742,2,1.0,1.0,sklearn,splice
3,0.2903225806451613,3,1.0,1.0,sklearn,splice
4,0.3870967741935484,4,1.0,1.0,sklearn,splice
5,0.4838709677419355,5,1.0,1.0,sklearn,splice
6,0.5806451612903226,6,1.0,1.0,sklearn,splice
7,0.6774193548387096,7,1.0,1.0,sklearn,splice
8,0.7741935483870968,8,1.0,1.0,sklearn,splice
9,0.8709677419354839,9,1.0,1.0,sklearn,splice
0,0.0,0,0.7142857142857143,0.7136363636363636,sklearn,sonar
1,0.09836065573770492,1,0.6904761904761905,0.6888888888888889,sklearn,sonar
2,0.19672131147540983,2,0.47619047619047616,0.3225806451612903,sklearn,sonar
3,0.29508196721311475,3,0.47619047619047616,0.3225806451612903,sklearn,sonar
4,0.39344262295081966,4,0.5,0.3713471133285816,sklearn,sonar
5,0.4918032786885246,5,0.5,0.3713471133285816,sklearn,sonar
6,0.5901639344262295,6,0.5,0.3713471133285816,sklearn,sonar
7,0.6885245901639344,7,0.47619047619047616,0.3225806451612903,sklearn,sonar
8,0.7868852459016393,8,0.47619047619047616,0.3225806451612903,sklearn,sonar
9,0.8852459016393442,9,0.47619047619047616,0.3225806451612903,sklearn,sonar
0,0.0,0,0.7828282828282829,0.782561039575258,sklearn,vowel
1,0.07142857142857142,1,0.6868686868686869,0.6879974692670617,sklearn,vowel
2,0.14285714285714285,2,0.696969696969697,0.6967207053143021,sklearn,vowel
3,0.21428571428571427,3,0.30303030303030304,0.24921950311805938,sklearn,vowel
4,0.35714285714285715,4,0.2222222222222222,0.18247163625209686,sklearn,vowel
5,0.42857142857142855,5,0.15656565656565657,0.09913188136275791,sklearn,vowel
6,0.5,5,0.12121212121212122,0.03769010863350486,sklearn,vowel
7,0.6428571428571429,7,0.12121212121212122,0.03769010863350486,sklearn,vowel
8,0.7142857142857143,8,0.09090909090909091,0.015151515151515154,sklearn,vowel
9,0.7857142857142857,8,0.09090909090909091,0.015151515151515154,sklearn,vowel
0,0.0,0,0.9372294372294372,0.9366927340484112,sklearn,segment
1,0.05,1,0.9372294372294372,0.9368600415419215,sklearn,segment
2,0.15,2,0.9415584415584416,0.9412983836454972,sklearn,segment
3,0.25,3,0.7186147186147186,0.6972509581986627,sklearn,segment
4,0.35,4,0.6320346320346321,0.6275483732720831,sklearn,segment
5,0.45,5,0.538961038961039,0.5263256222442512,sklearn,segment
6,0.55,6,0.3874458874458874,0.3564540185198276,sklearn,segment
7,0.65,7,0.24458874458874458,0.20797109494852656,sklearn,segment
8,0.75,8,0.24675324675324675,0.14612578197502832,sklearn,segment
9,0.85,9,0.14285714285714285,0.03571428571428571,sklearn,segment
0,0.0,0,0.9047619047619048,0.7725490196078432,sklearn,zoo
1,0.05555555555555555,1,0.9047619047619048,0.7725490196078432,sklearn,zoo
2,0.16666666666666666,2,0.5714285714285714,0.5442176870748299,sklearn,zoo
3,0.2777777777777778,3,0.3333333333333333,0.2732426303854875,sklearn,zoo
4,0.3333333333333333,4,0.3333333333333333,0.2732426303854875,sklearn,zoo
5,0.4444444444444444,5,0.3333333333333333,0.2732426303854875,sklearn,zoo
6,0.5555555555555556,6,0.23809523809523808,0.17223252937538652,sklearn,zoo
