,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.08620689655172414,0.0,0,mrai
1,1,glass,0.09027777777777778,0.1,1,mrai
2,2,glass,0.1890899554156832,0.2,2,mrai
3,3,glass,0.1890899554156832,0.3,3,mrai
4,4,glass,0.1890899554156832,0.4,4,mrai
5,5,glass,0.08333333333333333,0.5,5,mrai
6,6,glass,0.08620689655172414,0.6,6,mrai
7,7,glass,0.08620689655172414,0.7,7,mrai
8,8,glass,0.08620689655172414,0.8,8,mrai
0,0,credit-g,0.6791169297907842,0.0,0,mrai
1,1,credit-g,0.4117647058823529,0.09523809523809523,1,mrai
2,2,credit-g,0.4117647058823529,0.19047619047619047,2,mrai
3,3,credit-g,0.4117647058823529,0.2857142857142857,3,mrai
4,4,credit-g,0.4117647058823529,0.38095238095238093,4,mrai
5,5,credit-g,0.4117647058823529,0.47619047619047616,5,mrai
6,6,credit-g,0.4117647058823529,0.5714285714285714,6,mrai
7,7,credit-g,0.4117647058823529,0.6666666666666666,7,mrai
8,8,credit-g,0.4117647058823529,0.7619047619047619,8,mrai
9,9,credit-g,0.4117647058823529,0.8571428571428571,9,mrai
0,0,ionosphere,0.8536082474226804,0.0,0,mrai
1,1,ionosphere,0.8536082474226804,0.08571428571428572,1,mrai
2,2,ionosphere,0.859776168531929,0.17142857142857143,2,mrai
3,3,ionosphere,0.9055851063829786,0.2857142857142857,3,mrai
4,4,ionosphere,0.5470494417862839,0.37142857142857144,4,mrai
5,5,ionosphere,0.777106978990582,0.4857142857142857,5,mrai
6,6,ionosphere,0.5351190476190476,0.5714285714285714,6,mrai
7,7,ionosphere,0.5159090909090909,0.6571428571428571,7,mrai
8,8,ionosphere,0.5328947368421053,0.7714285714285715,8,mrai
9,9,ionosphere,0.5431145431145431,0.8571428571428571,9,mrai
0,0,lymph,0.24637681159420288,0.0,0,mrai
1,1,lymph,0.24637681159420288,0.05263157894736842,1,mrai
2,2,lymph,0.24113475177304963,0.15789473684210525,2,mrai
3,3,lymph,0.24113475177304963,0.2631578947368421,3,mrai
4,4,lymph,0.24113475177304963,0.3684210526315789,4,mrai
5,5,lymph,0.24113475177304963,0.47368421052631576,5,mrai
6,6,lymph,0.24113475177304963,0.5263157894736842,6,mrai
7,7,lymph,0.24113475177304963,0.631578947368421,7,mrai
8,8,lymph,0.24113475177304963,0.7368421052631579,8,mrai
9,9,lymph,0.24113475177304963,0.8421052631578947,9,mrai
0,0,vehicle,0.09523809523809523,0.0,0,mrai
1,1,vehicle,0.09523809523809523,0.05263157894736842,1,mrai
2,2,vehicle,0.09523809523809523,0.15789473684210525,2,mrai
3,3,vehicle,0.09523809523809523,0.2631578947368421,3,mrai
4,4,vehicle,0.09523809523809523,0.3684210526315789,4,mrai
5,5,vehicle,0.09523809523809523,0.47368421052631576,5,mrai
6,6,vehicle,0.09523809523809523,0.5263157894736842,6,mrai
7,7,vehicle,0.09523809523809523,0.631578947368421,7,mrai
8,8,vehicle,0.09523809523809523,0.7368421052631579,8,mrai
9,9,vehicle,0.09523809523809523,0.8421052631578947,9,mrai
0,0,iris,0.20833333333333334,0.0,0,mrai
1,1,iris,0.20833333333333334,0.2,2,mrai
2,2,iris,0.9333333333333332,0.4,4,mrai
3,3,iris,0.16666666666666666,0.6,6,mrai
0,0,splice,1.0,0.0,0,mrai
1,1,splice,0.1289506953223767,0.0967741935483871,1,mrai
2,2,splice,0.1289506953223767,0.1935483870967742,2,mrai
3,3,splice,0.1289506953223767,0.2903225806451613,3,mrai
4,4,splice,0.1289506953223767,0.3870967741935484,4,mrai
5,5,splice,0.1289506953223767,0.4838709677419355,5,mrai
6,6,splice,0.1289506953223767,0.5806451612903226,6,mrai
7,7,splice,0.1289506953223767,0.6774193548387096,7,mrai
8,8,splice,0.1289506953223767,0.7741935483870968,8,mrai
9,9,splice,0.1289506953223767,0.8709677419354839,9,mrai
0,0,sonar,0.6426545660805445,0.0,0,mrai
1,1,sonar,0.6666666666666666,0.09836065573770492,1,mrai
2,2,sonar,0.6426545660805445,0.19672131147540983,2,mrai
3,3,sonar,0.6426545660805445,0.29508196721311475,3,mrai
4,4,sonar,0.6377228292121909,0.39344262295081966,4,mrai
5,5,sonar,0.6377228292121909,0.4918032786885246,5,mrai
6,6,sonar,0.6377228292121909,0.5901639344262295,6,mrai
7,7,sonar,0.7254901960784315,0.6885245901639344,7,mrai
8,8,sonar,0.34375000000000006,0.7868852459016393,8,mrai
9,9,sonar,0.34375000000000006,0.8852459016393442,9,mrai
0,0,vowel,0.04651961794818937,0.0,0,mrai
1,1,vowel,0.04651961794818937,0.07142857142857142,1,mrai
2,2,vowel,0.04651961794818937,0.14285714285714285,2,mrai
3,3,vowel,0.028379028379028372,0.21428571428571427,3,mrai
4,4,vowel,0.028379028379028372,0.35714285714285715,4,mrai
5,5,vowel,0.04148380355276908,0.42857142857142855,5,mrai
6,6,vowel,0.16053726822847725,0.5,5,mrai
7,7,vowel,0.015151515151515154,0.6428571428571429,7,mrai
8,8,vowel,0.015151515151515154,0.7142857142857143,8,mrai
9,9,vowel,0.015151515151515154,0.7857142857142857,8,mrai
0,0,segment,0.037267080745341616,0.0,0,mrai
1,1,segment,0.037267080745341616,0.05,1,mrai
2,2,segment,0.18326791105481824,0.15,2,mrai
3,3,segment,0.18326791105481824,0.25,3,mrai
4,4,segment,0.18326791105481824,0.35,4,mrai
5,5,segment,0.1574183529482033,0.45,5,mrai
6,6,segment,0.18319203276359733,0.55,6,mrai
7,7,segment,0.3299414700562406,0.65,7,mrai
8,8,segment,0.1868958109559613,0.75,8,mrai
9,9,segment,0.03571428571428571,0.85,9,mrai
0,0,zoo,0.35714285714285715,0.0,0,mrai
1,1,zoo,0.35714285714285715,0.05555555555555555,1,mrai
2,2,zoo,0.19642857142857142,0.16666666666666666,2,mrai
3,3,zoo,0.19642857142857142,0.2777777777777778,3,mrai
4,4,zoo,0.19642857142857142,0.3333333333333333,4,mrai
5,5,zoo,0.19642857142857142,0.4444444444444444,5,mrai
6,6,zoo,0.19642857142857142,0.5555555555555556,6,mrai
7,7,zoo,0.03571428571428571,0.6111111111111112,7,mrai
8,8,zoo,0.03571428571428571,0.7222222222222222,8,mrai
9,9,zoo,0.03571428571428571,0.8333333333333334,9,mrai
0,0,heart-statlog,0.4014457831325301,0.0,0,mrai
1,1,heart-statlog,0.35714285714285715,0.07142857142857142,1,mrai
2,2,heart-statlog,0.30769230769230765,0.14285714285714285,2,mrai
3,3,heart-statlog,0.30769230769230765,0.21428571428571427,3,mrai
4,4,heart-statlog,0.35714285714285715,0.35714285714285715,4,mrai
5,5,heart-statlog,0.30769230769230765,0.42857142857142855,5,mrai
6,6,heart-statlog,0.35714285714285715,0.5,5,mrai
7,7,heart-statlog,0.30769230769230765,0.6428571428571429,7,mrai
8,8,heart-statlog,0.35714285714285715,0.7142857142857143,8,mrai
9,9,heart-statlog,0.7765517241379309,0.7857142857142857,8,mrai
0,0,waveform-5000,0.59185505437767,0.0,0,mrai
1,1,waveform-5000,0.59185505437767,0.0975609756097561,1,mrai
