,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.627906976744186,0.0,0,it-new
1,1,glass,0.7906976744186046,0.1,1,it-new
2,2,glass,0.7441860465116278,0.2,2,it-new
3,3,glass,0.6976744186046512,0.3,3,it-new
4,4,glass,0.5348837209302325,0.4,4,it-new
5,5,glass,0.6046511627906976,0.5,5,it-new
6,6,glass,0.627906976744186,0.6,6,it-new
7,7,glass,0.3953488372093023,0.7,7,it-new
8,8,glass,0.27906976744186046,0.8,8,it-new
0,0,credit-g,0.76,0.0,0,it-new
1,1,credit-g,0.7,0.09523809523809523,1,it-new
2,2,credit-g,0.605,0.19047619047619047,2,it-new
3,3,credit-g,0.67,0.2857142857142857,3,it-new
4,4,credit-g,0.67,0.38095238095238093,4,it-new
5,5,credit-g,0.67,0.47619047619047616,5,it-new
6,6,credit-g,0.715,0.5714285714285714,6,it-new
7,7,credit-g,0.715,0.6666666666666666,7,it-new
8,8,credit-g,0.665,0.7619047619047619,8,it-new
9,9,credit-g,0.715,0.8571428571428571,9,it-new
0,0,ionosphere,0.8873239436619719,0.0,0,it-new
1,1,ionosphere,0.8873239436619719,0.08571428571428572,1,it-new
2,2,ionosphere,0.8873239436619719,0.17142857142857143,2,it-new
3,3,ionosphere,0.8873239436619719,0.2857142857142857,3,it-new
4,4,ionosphere,0.8591549295774648,0.37142857142857144,4,it-new
5,5,ionosphere,0.7887323943661971,0.4857142857142857,5,it-new
6,6,ionosphere,0.7746478873239436,0.5714285714285714,6,it-new
7,7,ionosphere,0.7183098591549296,0.6571428571428571,7,it-new
8,8,ionosphere,0.8028169014084506,0.7714285714285715,8,it-new
9,9,ionosphere,0.647887323943662,0.8571428571428571,9,it-new
0,0,lymph,0.8666666666666667,0.0,0,it-new
1,1,lymph,0.9,0.05263157894736842,1,it-new
2,2,lymph,0.7666666666666667,0.15789473684210525,2,it-new
3,3,lymph,0.7666666666666667,0.2631578947368421,3,it-new
4,4,lymph,0.8333333333333334,0.3684210526315789,4,it-new
5,5,lymph,0.6666666666666666,0.47368421052631576,5,it-new
6,6,lymph,0.6666666666666666,0.5263157894736842,6,it-new
7,7,lymph,0.7333333333333333,0.631578947368421,7,it-new
8,8,lymph,0.5666666666666667,0.7368421052631579,8,it-new
9,9,lymph,0.7,0.8421052631578947,9,it-new
0,0,vehicle,0.7176470588235294,0.0,0,it-new
1,1,vehicle,0.711764705882353,0.05263157894736842,1,it-new
2,2,vehicle,0.6941176470588235,0.15789473684210525,2,it-new
3,3,vehicle,0.5823529411764706,0.2631578947368421,3,it-new
4,4,vehicle,0.5647058823529412,0.3684210526315789,4,it-new
5,5,vehicle,0.611764705882353,0.47368421052631576,5,it-new
6,6,vehicle,0.6352941176470588,0.5263157894736842,6,it-new
7,7,vehicle,0.5764705882352941,0.631578947368421,7,it-new
8,8,vehicle,0.37647058823529406,0.7368421052631579,8,it-new
9,9,vehicle,0.3411764705882353,0.8421052631578947,9,it-new
0,0,iris,0.9333333333333333,0.0,0,it-new
1,1,iris,0.9333333333333333,0.2,2,it-new
2,2,iris,0.9333333333333333,0.4,4,it-new
3,3,iris,0.43333333333333335,0.6,6,it-new
0,0,splice,0.7852664576802508,0.0,0,it-new
1,1,splice,1.0,0.0967741935483871,1,it-new
2,2,splice,1.0,0.1935483870967742,2,it-new
3,3,splice,1.0,0.2903225806451613,3,it-new
4,4,splice,1.0,0.3870967741935484,4,it-new
5,5,splice,1.0,0.4838709677419355,5,it-new
6,6,splice,1.0,0.5806451612903226,6,it-new
7,7,splice,1.0,0.6774193548387096,7,it-new
8,8,splice,1.0,0.7741935483870968,8,it-new
9,9,splice,1.0,0.8709677419354839,9,it-new
0,0,sonar,0.6666666666666666,0.0,0,it-new
1,1,sonar,0.6428571428571429,0.09836065573770492,1,it-new
2,2,sonar,0.6190476190476191,0.19672131147540983,2,it-new
3,3,sonar,0.6428571428571429,0.29508196721311475,3,it-new
4,4,sonar,0.7142857142857143,0.39344262295081966,4,it-new
5,5,sonar,0.6190476190476191,0.4918032786885246,5,it-new
6,6,sonar,0.6904761904761905,0.5901639344262295,6,it-new
7,7,sonar,0.5476190476190477,0.6885245901639344,7,it-new
8,8,sonar,0.6666666666666666,0.7868852459016393,8,it-new
9,9,sonar,0.5714285714285714,0.8852459016393442,9,it-new
0,0,vowel,0.8434343434343435,0.0,0,it-new
1,1,vowel,0.7626262626262628,0.07142857142857142,1,it-new
2,2,vowel,0.7121212121212122,0.14285714285714285,2,it-new
3,3,vowel,0.5404040404040404,0.21428571428571427,3,it-new
4,4,vowel,0.494949494949495,0.35714285714285715,4,it-new
5,5,vowel,0.3787878787878788,0.42857142857142855,5,it-new
6,6,vowel,0.19696969696969696,0.5,5,it-new
7,7,vowel,0.08585858585858586,0.6428571428571429,7,it-new
8,8,vowel,0.10101010101010101,0.7142857142857143,8,it-new
9,9,vowel,0.10101010101010101,0.7857142857142857,8,it-new
0,0,segment,0.922077922077922,0.0,0,it-new
1,1,segment,0.9285714285714286,0.05,1,it-new
2,2,segment,0.9264069264069265,0.15,2,it-new
3,3,segment,0.9242424242424242,0.25,3,it-new
4,4,segment,0.6515151515151515,0.35,4,it-new
5,5,segment,0.6536796536796536,0.45,5,it-new
6,6,segment,0.5930735930735931,0.55,6,it-new
7,7,segment,0.461038961038961,0.65,7,it-new
