,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.8139534883720931,0.0,0,it-new
1,1,glass,0.7906976744186046,0.1,1,it-new
2,2,glass,0.7906976744186046,0.2,2,it-new
3,3,glass,0.6511627906976745,0.3,3,it-new
4,4,glass,0.627906976744186,0.4,4,it-new
5,5,glass,0.5116279069767442,0.5,5,it-new
6,6,glass,0.5116279069767442,0.6,6,it-new
7,7,glass,0.32558139534883723,0.7,7,it-new
8,8,glass,0.20930232558139536,0.8,8,it-new
0,0,credit-g,0.715,0.0,0,it-new
1,1,credit-g,0.675,0.09523809523809523,1,it-new
2,2,credit-g,0.63,0.19047619047619047,2,it-new
3,3,credit-g,0.7,0.2857142857142857,3,it-new
4,4,credit-g,0.7,0.38095238095238093,4,it-new
5,5,credit-g,0.605,0.47619047619047616,5,it-new
6,6,credit-g,0.69,0.5714285714285714,6,it-new
7,7,credit-g,0.685,0.6666666666666666,7,it-new
8,8,credit-g,0.69,0.7619047619047619,8,it-new
9,9,credit-g,0.72,0.8571428571428571,9,it-new
0,0,ionosphere,0.9014084507042254,0.0,0,it-new
1,1,ionosphere,0.9014084507042254,0.08571428571428572,1,it-new
2,2,ionosphere,0.8873239436619719,0.17142857142857143,2,it-new
3,3,ionosphere,0.647887323943662,0.2857142857142857,3,it-new
4,4,ionosphere,0.6619718309859155,0.37142857142857144,4,it-new
5,5,ionosphere,0.8169014084507042,0.4857142857142857,5,it-new
6,6,ionosphere,0.7887323943661971,0.5714285714285714,6,it-new
7,7,ionosphere,0.704225352112676,0.6571428571428571,7,it-new
8,8,ionosphere,0.7464788732394367,0.7714285714285715,8,it-new
9,9,ionosphere,0.5774647887323944,0.8571428571428571,9,it-new
0,0,lymph,0.8000000000000002,0.0,0,it-new
1,1,lymph,0.8000000000000002,0.05263157894736842,1,it-new
2,2,lymph,0.8333333333333334,0.15789473684210525,2,it-new
3,3,lymph,0.8666666666666667,0.2631578947368421,3,it-new
4,4,lymph,0.8333333333333334,0.3684210526315789,4,it-new
5,5,lymph,0.7,0.47368421052631576,5,it-new
6,6,lymph,0.7,0.5263157894736842,6,it-new
7,7,lymph,0.7,0.631578947368421,7,it-new
8,8,lymph,0.7,0.7368421052631579,8,it-new
9,9,lymph,0.7,0.8421052631578947,9,it-new
0,0,vehicle,0.735294117647059,0.0,0,it-new
1,1,vehicle,0.7411764705882353,0.05263157894736842,1,it-new
2,2,vehicle,0.7294117647058823,0.15789473684210525,2,it-new
3,3,vehicle,0.5470588235294118,0.2631578947368421,3,it-new
4,4,vehicle,0.49411764705882355,0.3684210526315789,4,it-new
5,5,vehicle,0.611764705882353,0.47368421052631576,5,it-new
6,6,vehicle,0.6235294117647059,0.5263157894736842,6,it-new
7,7,vehicle,0.5882352941176471,0.631578947368421,7,it-new
8,8,vehicle,0.37058823529411766,0.7368421052631579,8,it-new
9,9,vehicle,0.4000000000000001,0.8421052631578947,9,it-new
0,0,iris,0.9,0.0,0,it-new
1,1,iris,0.5333333333333333,0.2,2,it-new
2,2,iris,0.5333333333333333,0.4,4,it-new
3,3,iris,0.3333333333333333,0.6,6,it-new
0,0,splice,0.9247648902821317,0.0,0,it-new
1,1,splice,0.9357366771159875,0.0967741935483871,1,it-new
2,2,splice,0.9216300940438872,0.1935483870967742,2,it-new
3,3,splice,1.0,0.2903225806451613,3,it-new
4,4,splice,1.0,0.3870967741935484,4,it-new
5,5,splice,1.0,0.4838709677419355,5,it-new
6,6,splice,1.0,0.5806451612903226,6,it-new
7,7,splice,1.0,0.6774193548387096,7,it-new
8,8,splice,1.0,0.7741935483870968,8,it-new
9,9,splice,1.0,0.8709677419354839,9,it-new
0,0,sonar,0.6904761904761905,0.0,0,it-new
1,1,sonar,0.7619047619047619,0.09836065573770492,1,it-new
2,2,sonar,0.7380952380952381,0.19672131147540983,2,it-new
3,3,sonar,0.7619047619047619,0.29508196721311475,3,it-new
4,4,sonar,0.5952380952380952,0.39344262295081966,4,it-new
5,5,sonar,0.6428571428571429,0.4918032786885246,5,it-new
6,6,sonar,0.6428571428571429,0.5901639344262295,6,it-new
7,7,sonar,0.5238095238095238,0.6885245901639344,7,it-new
8,8,sonar,0.5238095238095238,0.7868852459016393,8,it-new
9,9,sonar,0.5,0.8852459016393442,9,it-new
0,0,vowel,0.7878787878787878,0.0,0,it-new
1,1,vowel,0.7777777777777778,0.07142857142857142,1,it-new
2,2,vowel,0.6363636363636364,0.14285714285714285,2,it-new
3,3,vowel,0.6262626262626263,0.21428571428571427,3,it-new
4,4,vowel,0.45454545454545453,0.35714285714285715,4,it-new
5,5,vowel,0.36363636363636365,0.42857142857142855,5,it-new
6,6,vowel,0.12626262626262627,0.5,5,it-new
7,7,vowel,0.09595959595959595,0.6428571428571429,7,it-new
8,8,vowel,0.1111111111111111,0.7142857142857143,8,it-new
9,9,vowel,0.1111111111111111,0.7857142857142857,8,it-new
0,0,segment,0.948051948051948,0.0,0,it-new
1,1,segment,0.948051948051948,0.05,1,it-new
2,2,segment,0.9199134199134199,0.15,2,it-new
3,3,segment,0.8333333333333334,0.25,3,it-new
4,4,segment,0.7532467532467532,0.35,4,it-new
5,5,segment,0.7532467532467532,0.45,5,it-new
6,6,segment,0.7532467532467532,0.55,6,it-new
7,7,segment,0.3939393939393939,0.65,7,it-new
8,8,segment,0.2813852813852814,0.75,8,it-new
9,9,segment,0.2813852813852814,0.85,9,it-new
0,0,zoo,0.9523809523809523,0.0,0,it-new
1,1,zoo,0.9523809523809523,0.05555555555555555,1,it-new
2,2,zoo,0.8095238095238095,0.16666666666666666,2,it-new
3,3,zoo,0.6666666666666666,0.2777777777777778,3,it-new
4,4,zoo,0.6666666666666666,0.3333333333333333,4,it-new
5,5,zoo,0.6666666666666666,0.4444444444444444,5,it-new
6,6,zoo,0.6666666666666666,0.5555555555555556,6,it-new
7,7,zoo,0.5238095238095238,0.6111111111111112,7,it-new
8,8,zoo,0.2857142857142857,0.7222222222222222,8,it-new
9,9,zoo,0.38095238095238093,0.8333333333333334,9,it-new
0,0,heart-statlog,0.7777777777777778,0.0,0,it-new
1,1,heart-statlog,0.6851851851851852,0.07142857142857142,1,it-new
2,2,heart-statlog,0.6111111111111112,0.14285714285714285,2,it-new
3,3,heart-statlog,0.5740740740740741,0.21428571428571427,3,it-new
4,4,heart-statlog,0.6111111111111112,0.35714285714285715,4,it-new
5,5,heart-statlog,0.5740740740740741,0.42857142857142855,5,it-new
6,6,heart-statlog,0.5555555555555556,0.5,5,it-new
7,7,heart-statlog,0.5740740740740741,0.6428571428571429,7,it-new
8,8,heart-statlog,0.7777777777777778,0.7142857142857143,8,it-new
9,9,heart-statlog,0.7962962962962963,0.7857142857142857,8,it-new
0,0,waveform-5000,0.735,0.0,0,it-new
1,1,waveform-5000,0.7410000000000001,0.0975609756097561,1,it-new
2,2,waveform-5000,0.69,0.1951219512195122,2,it-new
3,3,waveform-5000,0.625,0.2926829268292683,3,it-new
4,4,waveform-5000,0.674,0.3902439024390244,4,it-new
5,5,waveform-5000,0.68,0.4878048780487805,5,it-new
6,6,waveform-5000,0.467,0.5853658536585366,6,it-new
7,7,waveform-5000,0.464,0.6829268292682927,7,it-new
8,8,waveform-5000,0.396,0.7804878048780488,8,it-new
9,9,waveform-5000,0.338,0.8780487804878049,9,it-new
0,0,kr-vs-kp,0.9734375,0.0,0,it-new
1,1,kr-vs-kp,0.8328125,0.08108108108108109,1,it-new
2,2,kr-vs-kp,0.8000000000000002,0.1891891891891892,2,it-new
3,3,kr-vs-kp,0.7859375,0.2702702702702703,3,it-new
4,4,kr-vs-kp,0.740625,0.3783783783783784,4,it-new
5,5,kr-vs-kp,0.753125,0.4864864864864865,5,it-new
6,6,kr-vs-kp,0.7484375,0.5675675675675675,6,it-new
7,7,kr-vs-kp,0.7171875,0.6756756756756757,7,it-new
