,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,iris,0.9333333333333333,0.0,0,mercs-mi
1,1,iris,0.9333333333333333,0.2,2,mercs-mi
2,2,iris,0.9333333333333333,0.4,4,mercs-mi
3,3,iris,0.3333333333333333,0.6,6,mercs-mi
0,0,balance-scale,0.792,0.0,0,mercs-mi
1,1,balance-scale,0.648,0.2,2,mercs-mi
2,2,balance-scale,0.584,0.4,4,mercs-mi
3,3,balance-scale,0.608,0.6,6,mercs-mi
0,0,heart-statlog,0.8333333333333334,0.0,0,mercs-mi
1,1,heart-statlog,0.7592592592592593,0.07142857142857142,1,mercs-mi
2,2,heart-statlog,0.7592592592592593,0.14285714285714285,2,mercs-mi
3,3,heart-statlog,0.7592592592592593,0.21428571428571427,3,mercs-mi
4,4,heart-statlog,0.5555555555555556,0.35714285714285715,4,mercs-mi
5,5,heart-statlog,0.5555555555555556,0.42857142857142855,5,mercs-mi
6,6,heart-statlog,0.5555555555555556,0.5,5,mercs-mi
7,7,heart-statlog,0.5555555555555556,0.6428571428571429,7,mercs-mi
8,8,heart-statlog,0.5555555555555556,0.7142857142857143,8,mercs-mi
9,9,heart-statlog,0.5555555555555556,0.7857142857142857,8,mercs-mi
0,0,glass,0.7209302325581395,0.0,0,mercs-mi
1,1,glass,0.5813953488372093,0.1,1,mercs-mi
2,2,glass,0.5813953488372093,0.2,2,mercs-mi
3,3,glass,0.3023255813953488,0.3,3,mercs-mi
4,4,glass,0.18604651162790695,0.4,4,mercs-mi
5,5,glass,0.18604651162790695,0.5,5,mercs-mi
6,6,glass,0.18604651162790695,0.6,6,mercs-mi
7,7,glass,0.11627906976744186,0.7,7,mercs-mi
8,8,glass,0.11627906976744186,0.8,8,mercs-mi
0,0,lymph,0.8000000000000002,0.0,0,mercs-mi
1,1,lymph,0.8000000000000002,0.05263157894736842,1,mercs-mi
2,2,lymph,0.7666666666666667,0.15789473684210525,2,mercs-mi
3,3,lymph,0.7666666666666667,0.2631578947368421,3,mercs-mi
4,4,lymph,0.7666666666666667,0.3684210526315789,4,mercs-mi
5,5,lymph,0.7666666666666667,0.47368421052631576,5,mercs-mi
6,6,lymph,0.7666666666666667,0.5263157894736842,6,mercs-mi
7,7,lymph,0.7666666666666667,0.631578947368421,7,mercs-mi
8,8,lymph,0.7,0.7368421052631579,8,mercs-mi
9,9,lymph,0.5666666666666667,0.8421052631578947,9,mercs-mi
0,0,diabetes,0.7597402597402597,0.0,0,mercs-mi
1,1,diabetes,0.7142857142857143,0.1111111111111111,2,mercs-mi
2,2,diabetes,0.7142857142857143,0.2222222222222222,3,mercs-mi
3,3,diabetes,0.7142857142857143,0.3333333333333333,4,mercs-mi
4,4,diabetes,0.7142857142857143,0.4444444444444444,5,mercs-mi
5,5,diabetes,0.7142857142857143,0.5555555555555556,6,mercs-mi
6,6,diabetes,0.7142857142857143,0.6666666666666666,7,mercs-mi
7,7,diabetes,0.6493506493506493,0.7777777777777778,8,mercs-mi
0,0,vehicle,0.6705882352941176,0.0,0,mercs-mi
1,1,vehicle,0.6470588235294118,0.05263157894736842,1,mercs-mi
2,2,vehicle,0.6470588235294118,0.15789473684210525,2,mercs-mi
3,3,vehicle,0.6176470588235294,0.2631578947368421,3,mercs-mi
4,4,vehicle,0.611764705882353,0.3684210526315789,4,mercs-mi
5,5,vehicle,0.611764705882353,0.47368421052631576,5,mercs-mi
6,6,vehicle,0.611764705882353,0.5263157894736842,6,mercs-mi
7,7,vehicle,0.3588235294117647,0.631578947368421,7,mercs-mi
8,8,vehicle,0.32941176470588235,0.7368421052631579,8,mercs-mi
9,9,vehicle,0.37647058823529406,0.8421052631578947,9,mercs-mi
0,0,ionosphere,0.9295774647887324,0.0,0,mercs-mi
1,1,ionosphere,0.9295774647887324,0.08571428571428572,1,mercs-mi
2,2,ionosphere,0.9295774647887324,0.17142857142857143,2,mercs-mi
3,3,ionosphere,0.9295774647887324,0.2857142857142857,3,mercs-mi
4,4,ionosphere,0.9295774647887324,0.37142857142857144,4,mercs-mi
5,5,ionosphere,0.9154929577464789,0.4857142857142857,5,mercs-mi
6,6,ionosphere,0.8169014084507042,0.5714285714285714,6,mercs-mi
7,7,ionosphere,0.8169014084507042,0.6571428571428571,7,mercs-mi
8,8,ionosphere,0.8169014084507042,0.7714285714285715,8,mercs-mi
9,9,ionosphere,0.8169014084507042,0.8571428571428571,9,mercs-mi
0,0,vowel,0.6161616161616161,0.0,0,mercs-mi
1,1,vowel,0.5959595959595959,0.07142857142857142,1,mercs-mi
2,2,vowel,0.5707070707070707,0.14285714285714285,2,mercs-mi
3,3,vowel,0.5656565656565656,0.21428571428571427,3,mercs-mi
4,4,vowel,0.5606060606060606,0.35714285714285715,4,mercs-mi
5,5,vowel,0.5606060606060606,0.42857142857142855,5,mercs-mi
6,6,vowel,0.5404040404040404,0.5,5,mercs-mi
7,7,vowel,0.13636363636363635,0.6428571428571429,7,mercs-mi
8,8,vowel,0.11616161616161616,0.7142857142857143,8,mercs-mi
9,9,vowel,0.09595959595959595,0.7857142857142857,8,mercs-mi
