,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.8139534883720931,0.0,0,sklearn
1,1,glass,0.7906976744186046,0.1,1,sklearn
2,2,glass,0.7906976744186046,0.2,2,sklearn
3,3,glass,0.6511627906976745,0.3,3,sklearn
4,4,glass,0.627906976744186,0.4,4,sklearn
5,5,glass,0.5116279069767442,0.5,5,sklearn
6,6,glass,0.5116279069767442,0.6,6,sklearn
7,7,glass,0.32558139534883723,0.7,7,sklearn
8,8,glass,0.3023255813953488,0.8,8,sklearn
0,0,credit-g,0.715,0.0,0,sklearn
1,1,credit-g,0.66,0.09523809523809523,1,sklearn
2,2,credit-g,0.685,0.19047619047619047,2,sklearn
3,3,credit-g,0.675,0.2857142857142857,3,sklearn
4,4,credit-g,0.705,0.38095238095238093,4,sklearn
5,5,credit-g,0.705,0.47619047619047616,5,sklearn
6,6,credit-g,0.72,0.5714285714285714,6,sklearn
7,7,credit-g,0.72,0.6666666666666666,7,sklearn
8,8,credit-g,0.74,0.7619047619047619,8,sklearn
9,9,credit-g,0.7,0.8571428571428571,9,sklearn
0,0,ionosphere,0.9014084507042254,0.0,0,sklearn
1,1,ionosphere,0.9014084507042254,0.08571428571428572,1,sklearn
2,2,ionosphere,0.8873239436619719,0.17142857142857143,2,sklearn
3,3,ionosphere,0.8873239436619719,0.2857142857142857,3,sklearn
4,4,ionosphere,0.8873239436619719,0.37142857142857144,4,sklearn
5,5,ionosphere,0.8028169014084506,0.4857142857142857,5,sklearn
6,6,ionosphere,0.7323943661971831,0.5714285714285714,6,sklearn
7,7,ionosphere,0.7183098591549296,0.6571428571428571,7,sklearn
8,8,ionosphere,0.7183098591549296,0.7714285714285715,8,sklearn
9,9,ionosphere,0.647887323943662,0.8571428571428571,9,sklearn
0,0,lymph,0.8000000000000002,0.0,0,sklearn
1,1,lymph,0.8000000000000002,0.05263157894736842,1,sklearn
2,2,lymph,0.8333333333333334,0.15789473684210525,2,sklearn
3,3,lymph,0.8333333333333334,0.2631578947368421,3,sklearn
4,4,lymph,0.8333333333333334,0.3684210526315789,4,sklearn
5,5,lymph,0.7333333333333333,0.47368421052631576,5,sklearn
6,6,lymph,0.7333333333333333,0.5263157894736842,6,sklearn
7,7,lymph,0.7,0.631578947368421,7,sklearn
8,8,lymph,0.7,0.7368421052631579,8,sklearn
9,9,lymph,0.7,0.8421052631578947,9,sklearn
0,0,vehicle,0.735294117647059,0.0,0,sklearn
1,1,vehicle,0.6411764705882353,0.05263157894736842,1,sklearn
2,2,vehicle,0.6058823529411764,0.15789473684210525,2,sklearn
3,3,vehicle,0.5294117647058824,0.2631578947368421,3,sklearn
4,4,vehicle,0.5588235294117647,0.3684210526315789,4,sklearn
5,5,vehicle,0.4176470588235294,0.47368421052631576,5,sklearn
6,6,vehicle,0.3588235294117647,0.5263157894736842,6,sklearn
7,7,vehicle,0.3588235294117647,0.631578947368421,7,sklearn
8,8,vehicle,0.34705882352941175,0.7368421052631579,8,sklearn
9,9,vehicle,0.25882352941176473,0.8421052631578947,9,sklearn
0,0,iris,0.9,0.0,0,sklearn
1,1,iris,0.5333333333333333,0.2,2,sklearn
2,2,iris,0.5333333333333333,0.4,4,sklearn
3,3,iris,0.3333333333333333,0.6,6,sklearn
0,0,splice,0.9247648902821317,0.0,0,sklearn
1,1,splice,0.9357366771159875,0.0967741935483871,1,sklearn
2,2,splice,0.9216300940438872,0.1935483870967742,2,sklearn
3,3,splice,0.9231974921630094,0.2903225806451613,3,sklearn
4,4,splice,0.9184952978056428,0.3870967741935484,4,sklearn
5,5,splice,0.8166144200626959,0.4838709677419355,5,sklearn
6,6,splice,0.6536050156739812,0.5806451612903226,6,sklearn
7,7,splice,0.4231974921630094,0.6774193548387096,7,sklearn
8,8,splice,0.4231974921630094,0.7741935483870968,8,sklearn
9,9,splice,0.481191222570533,0.8709677419354839,9,sklearn
0,0,sonar,0.6904761904761905,0.0,0,sklearn
1,1,sonar,0.6666666666666666,0.09836065573770492,1,sklearn
2,2,sonar,0.6666666666666666,0.19672131147540983,2,sklearn
