,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.627906976744186,0.0,0,mrai-new
1,1,glass,0.7906976744186046,0.1,1,mrai-new
2,2,glass,0.7441860465116278,0.2,2,mrai-new
3,3,glass,0.5813953488372093,0.3,3,mrai-new
4,4,glass,0.6046511627906976,0.4,4,mrai-new
5,5,glass,0.6046511627906976,0.5,5,mrai-new
6,6,glass,0.5581395348837209,0.6,6,mrai-new
7,7,glass,0.23255813953488372,0.7,7,mrai-new
8,8,glass,0.32558139534883723,0.8,8,mrai-new
0,0,credit-g,0.76,0.0,0,mrai-new
1,1,credit-g,0.68,0.09523809523809523,1,mrai-new
2,2,credit-g,0.685,0.19047619047619047,2,mrai-new
3,3,credit-g,0.685,0.2857142857142857,3,mrai-new
4,4,credit-g,0.675,0.38095238095238093,4,mrai-new
5,5,credit-g,0.67,0.47619047619047616,5,mrai-new
6,6,credit-g,0.72,0.5714285714285714,6,mrai-new
7,7,credit-g,0.72,0.6666666666666666,7,mrai-new
8,8,credit-g,0.735,0.7619047619047619,8,mrai-new
9,9,credit-g,0.7,0.8571428571428571,9,mrai-new
0,0,ionosphere,0.8873239436619719,0.0,0,mrai-new
1,1,ionosphere,0.8873239436619719,0.08571428571428572,1,mrai-new
2,2,ionosphere,0.8873239436619719,0.17142857142857143,2,mrai-new
3,3,ionosphere,0.8873239436619719,0.2857142857142857,3,mrai-new
4,4,ionosphere,0.8591549295774648,0.37142857142857144,4,mrai-new
5,5,ionosphere,0.7746478873239436,0.4857142857142857,5,mrai-new
6,6,ionosphere,0.7323943661971831,0.5714285714285714,6,mrai-new
7,7,ionosphere,0.7464788732394367,0.6571428571428571,7,mrai-new
8,8,ionosphere,0.7323943661971831,0.7714285714285715,8,mrai-new
9,9,ionosphere,0.647887323943662,0.8571428571428571,9,mrai-new
0,0,lymph,0.8666666666666667,0.0,0,mrai-new
1,1,lymph,0.9,0.05263157894736842,1,mrai-new
2,2,lymph,0.8666666666666667,0.15789473684210525,2,mrai-new
3,3,lymph,0.8333333333333334,0.2631578947368421,3,mrai-new
4,4,lymph,0.8333333333333334,0.3684210526315789,4,mrai-new
5,5,lymph,0.7333333333333333,0.47368421052631576,5,mrai-new
6,6,lymph,0.7333333333333333,0.5263157894736842,6,mrai-new
7,7,lymph,0.7,0.631578947368421,7,mrai-new
8,8,lymph,0.7,0.7368421052631579,8,mrai-new
9,9,lymph,0.7,0.8421052631578947,9,mrai-new
0,0,vehicle,0.7176470588235294,0.0,0,mrai-new
1,1,vehicle,0.7,0.05263157894736842,1,mrai-new
2,2,vehicle,0.6411764705882353,0.15789473684210525,2,mrai-new
3,3,vehicle,0.5,0.2631578947368421,3,mrai-new
4,4,vehicle,0.4647058823529412,0.3684210526315789,4,mrai-new
5,5,vehicle,0.32941176470588235,0.47368421052631576,5,mrai-new
6,6,vehicle,0.32941176470588235,0.5263157894736842,6,mrai-new
7,7,vehicle,0.3411764705882353,0.631578947368421,7,mrai-new
8,8,vehicle,0.34705882352941175,0.7368421052631579,8,mrai-new
9,9,vehicle,0.2411764705882353,0.8421052631578947,9,mrai-new
0,0,iris,0.9333333333333333,0.0,0,mrai-new
1,1,iris,0.9333333333333333,0.2,2,mrai-new
2,2,iris,0.9333333333333333,0.4,4,mrai-new
3,3,iris,0.43333333333333335,0.6,6,mrai-new
0,0,splice,0.7852664576802508,0.0,0,mrai-new
1,1,splice,1.0,0.0967741935483871,1,mrai-new
2,2,splice,1.0,0.1935483870967742,2,mrai-new
3,3,splice,1.0,0.2903225806451613,3,mrai-new
4,4,splice,1.0,0.3870967741935484,4,mrai-new
5,5,splice,1.0,0.4838709677419355,5,mrai-new
6,6,splice,1.0,0.5806451612903226,6,mrai-new
7,7,splice,1.0,0.6774193548387096,7,mrai-new
8,8,splice,1.0,0.7741935483870968,8,mrai-new
9,9,splice,1.0,0.8709677419354839,9,mrai-new
0,0,sonar,0.6666666666666666,0.0,0,mrai-new
1,1,sonar,0.6666666666666666,0.09836065573770492,1,mrai-new
2,2,sonar,0.5238095238095238,0.19672131147540983,2,mrai-new
3,3,sonar,0.5238095238095238,0.29508196721311475,3,mrai-new
4,4,sonar,0.5238095238095238,0.39344262295081966,4,mrai-new
5,5,sonar,0.5952380952380952,0.4918032786885246,5,mrai-new
6,6,sonar,0.5952380952380952,0.5901639344262295,6,mrai-new
7,7,sonar,0.5238095238095238,0.6885245901639344,7,mrai-new
8,8,sonar,0.5238095238095238,0.7868852459016393,8,mrai-new
9,9,sonar,0.5238095238095238,0.8852459016393442,9,mrai-new
0,0,vowel,0.8434343434343435,0.0,0,mrai-new
1,1,vowel,0.7626262626262628,0.07142857142857142,1,mrai-new
2,2,vowel,0.7121212121212122,0.14285714285714285,2,mrai-new
3,3,vowel,0.47474747474747475,0.21428571428571427,3,mrai-new
4,4,vowel,0.3838383838383838,0.35714285714285715,4,mrai-new
5,5,vowel,0.3434343434343434,0.42857142857142855,5,mrai-new
6,6,vowel,0.15151515151515152,0.5,5,mrai-new
7,7,vowel,0.11616161616161616,0.6428571428571429,7,mrai-new
8,8,vowel,0.09090909090909091,0.7142857142857143,8,mrai-new
9,9,vowel,0.09090909090909091,0.7857142857142857,8,mrai-new
0,0,segment,0.922077922077922,0.0,0,mrai-new
1,1,segment,0.9285714285714286,0.05,1,mrai-new
2,2,segment,0.9264069264069265,0.15,2,mrai-new
3,3,segment,0.9242424242424242,0.25,3,mrai-new
4,4,segment,0.5844155844155844,0.35,4,mrai-new
5,5,segment,0.4458874458874459,0.45,5,mrai-new
6,6,segment,0.40476190476190477,0.55,6,mrai-new
7,7,segment,0.2554112554112554,0.65,7,mrai-new
8,8,segment,0.2813852813852814,0.75,8,mrai-new
9,9,segment,0.2813852813852814,0.85,9,mrai-new
0,0,zoo,0.9047619047619048,0.0,0,mrai-new
1,1,zoo,0.9047619047619048,0.05555555555555555,1,mrai-new
2,2,zoo,0.5238095238095238,0.16666666666666666,2,mrai-new
3,3,zoo,0.5238095238095238,0.2777777777777778,3,mrai-new
4,4,zoo,0.5238095238095238,0.3333333333333333,4,mrai-new
5,5,zoo,0.5238095238095238,0.4444444444444444,5,mrai-new
6,6,zoo,0.38095238095238093,0.5555555555555556,6,mrai-new
