,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.627906976744186,0.0,0,rw-new
1,1,glass,0.6976744186046512,0.1,1,rw-new
2,2,glass,0.6976744186046512,0.2,2,rw-new
3,3,glass,0.627906976744186,0.3,3,rw-new
4,4,glass,0.6976744186046512,0.4,4,rw-new
5,5,glass,0.5581395348837209,0.5,5,rw-new
6,6,glass,0.4883720930232558,0.6,6,rw-new
7,7,glass,0.4186046511627907,0.7,7,rw-new
8,8,glass,0.16279069767441862,0.8,8,rw-new
0,0,credit-g,0.7100000000000001,0.0,0,rw-new
1,1,credit-g,0.7,0.09523809523809523,1,rw-new
2,2,credit-g,0.69,0.19047619047619047,2,rw-new
3,3,credit-g,0.62,0.2857142857142857,3,rw-new
4,4,credit-g,0.685,0.38095238095238093,4,rw-new
5,5,credit-g,0.64,0.47619047619047616,5,rw-new
6,6,credit-g,0.62,0.5714285714285714,6,rw-new
7,7,credit-g,0.64,0.6666666666666666,7,rw-new
8,8,credit-g,0.675,0.7619047619047619,8,rw-new
9,9,credit-g,0.7,0.8571428571428571,9,rw-new
0,0,ionosphere,0.8450704225352113,0.0,0,rw-new
1,1,ionosphere,0.8873239436619719,0.08571428571428572,1,rw-new
2,2,ionosphere,0.8873239436619719,0.17142857142857143,2,rw-new
3,3,ionosphere,0.8450704225352113,0.2857142857142857,3,rw-new
4,4,ionosphere,0.6901408450704225,0.37142857142857144,4,rw-new
5,5,ionosphere,0.676056338028169,0.4857142857142857,5,rw-new
6,6,ionosphere,0.6901408450704225,0.5714285714285714,6,rw-new
7,7,ionosphere,0.7887323943661971,0.6571428571428571,7,rw-new
8,8,ionosphere,0.8169014084507042,0.7714285714285715,8,rw-new
9,9,ionosphere,0.676056338028169,0.8571428571428571,9,rw-new
0,0,lymph,0.7666666666666667,0.0,0,rw-new
1,1,lymph,0.8000000000000002,0.05263157894736842,1,rw-new
2,2,lymph,0.8000000000000002,0.15789473684210525,2,rw-new
3,3,lymph,0.7333333333333333,0.2631578947368421,3,rw-new
4,4,lymph,0.7,0.3684210526315789,4,rw-new
5,5,lymph,0.6333333333333333,0.47368421052631576,5,rw-new
6,6,lymph,0.6666666666666666,0.5263157894736842,6,rw-new
7,7,lymph,0.7,0.631578947368421,7,rw-new
8,8,lymph,0.5666666666666667,0.7368421052631579,8,rw-new
9,9,lymph,0.5666666666666667,0.8421052631578947,9,rw-new
0,0,vehicle,0.6411764705882353,0.0,0,rw-new
1,1,vehicle,0.6470588235294118,0.05263157894736842,1,rw-new
2,2,vehicle,0.7,0.15789473684210525,2,rw-new
3,3,vehicle,0.6294117647058823,0.2631578947368421,3,rw-new
4,4,vehicle,0.6058823529411764,0.3684210526315789,4,rw-new
5,5,vehicle,0.4823529411764706,0.47368421052631576,5,rw-new
6,6,vehicle,0.4588235294117647,0.5263157894736842,6,rw-new
7,7,vehicle,0.3941176470588235,0.631578947368421,7,rw-new
8,8,vehicle,0.2235294117647059,0.7368421052631579,8,rw-new
9,9,vehicle,0.21176470588235294,0.8421052631578947,9,rw-new
0,0,iris,0.43333333333333335,0.0,0,rw-new
1,1,iris,0.43333333333333335,0.2,2,rw-new
2,2,iris,0.43333333333333335,0.4,4,rw-new
3,3,iris,0.43333333333333335,0.6,6,rw-new
0,0,splice,0.7852664576802508,0.0,0,rw-new
1,1,splice,0.7962382445141066,0.0967741935483871,1,rw-new
2,2,splice,0.7554858934169278,0.1935483870967742,2,rw-new
3,3,splice,0.7774294670846394,0.2903225806451613,3,rw-new
4,4,splice,0.6802507836990596,0.3870967741935484,4,rw-new
5,5,splice,0.5579937304075235,0.4838709677419355,5,rw-new
6,6,splice,0.7021943573667712,0.5806451612903226,6,rw-new
7,7,splice,0.5329153605015674,0.6774193548387096,7,rw-new
8,8,splice,0.512539184952978,0.7741935483870968,8,rw-new
9,9,splice,0.4608150470219436,0.8709677419354839,9,rw-new
0,0,sonar,0.6904761904761905,0.0,0,rw-new
1,1,sonar,0.6904761904761905,0.09836065573770492,1,rw-new
2,2,sonar,0.5952380952380952,0.19672131147540983,2,rw-new
3,3,sonar,0.5952380952380952,0.29508196721311475,3,rw-new
4,4,sonar,0.5952380952380952,0.39344262295081966,4,rw-new
5,5,sonar,0.5952380952380952,0.4918032786885246,5,rw-new
6,6,sonar,0.5476190476190477,0.5901639344262295,6,rw-new
7,7,sonar,0.5238095238095238,0.6885245901639344,7,rw-new
8,8,sonar,0.5238095238095238,0.7868852459016393,8,rw-new
9,9,sonar,0.5238095238095238,0.8852459016393442,9,rw-new
0,0,vowel,0.7777777777777778,0.0,0,rw-new
1,1,vowel,0.702020202020202,0.07142857142857142,1,rw-new
2,2,vowel,0.702020202020202,0.14285714285714285,2,rw-new
3,3,vowel,0.25252525252525254,0.21428571428571427,3,rw-new
4,4,vowel,0.3333333333333333,0.35714285714285715,4,rw-new
5,5,vowel,0.17676767676767677,0.42857142857142855,5,rw-new
6,6,vowel,0.12121212121212122,0.5,5,rw-new
7,7,vowel,0.08080808080808081,0.6428571428571429,7,rw-new
8,8,vowel,0.09090909090909091,0.7142857142857143,8,rw-new
9,9,vowel,0.08585858585858586,0.7857142857142857,8,rw-new
0,0,segment,0.9502164502164502,0.0,0,rw-new
1,1,segment,0.9502164502164502,0.05,1,rw-new
2,2,segment,0.8073593073593074,0.15,2,rw-new
3,3,segment,0.5735930735930735,0.25,3,rw-new
4,4,segment,0.5584415584415584,0.35,4,rw-new
5,5,segment,0.6991341991341992,0.45,5,rw-new
6,6,segment,0.658008658008658,0.55,6,rw-new
7,7,segment,0.3939393939393939,0.65,7,rw-new
8,8,segment,0.2813852813852814,0.75,8,rw-new
9,9,segment,0.2813852813852814,0.85,9,rw-new
0,0,zoo,0.9047619047619048,0.0,0,rw-new
1,1,zoo,0.9047619047619048,0.05555555555555555,1,rw-new
2,2,zoo,0.5238095238095238,0.16666666666666666,2,rw-new
3,3,zoo,0.6666666666666666,0.2777777777777778,3,rw-new
4,4,zoo,0.7619047619047619,0.3333333333333333,4,rw-new
5,5,zoo,0.7619047619047619,0.4444444444444444,5,rw-new
6,6,zoo,0.19047619047619047,0.5555555555555556,6,rw-new
7,7,zoo,0.19047619047619047,0.6111111111111112,7,rw-new
8,8,zoo,0.38095238095238093,0.7222222222222222,8,rw-new
9,9,zoo,0.047619047619047616,0.8333333333333334,9,rw-new
0,0,heart-statlog,0.7222222222222222,0.0,0,rw-new
1,1,heart-statlog,0.6481481481481481,0.07142857142857142,1,rw-new
2,2,heart-statlog,0.6666666666666666,0.14285714285714285,2,rw-new
3,3,heart-statlog,0.6851851851851852,0.21428571428571427,3,rw-new
4,4,heart-statlog,0.6666666666666666,0.35714285714285715,4,rw-new
5,5,heart-statlog,0.5555555555555556,0.42857142857142855,5,rw-new
6,6,heart-statlog,0.5740740740740741,0.5,5,rw-new
7,7,heart-statlog,0.5185185185185185,0.6428571428571429,7,rw-new
8,8,heart-statlog,0.46296296296296297,0.7142857142857143,8,rw-new
9,9,heart-statlog,0.4444444444444444,0.7857142857142857,8,rw-new
0,0,waveform-5000,0.75,0.0,0,rw-new
1,1,waveform-5000,0.753,0.0975609756097561,1,rw-new
2,2,waveform-5000,0.708,0.1951219512195122,2,rw-new
3,3,waveform-5000,0.613,0.2926829268292683,3,rw-new
4,4,waveform-5000,0.63,0.3902439024390244,4,rw-new
5,5,waveform-5000,0.62,0.4878048780487805,5,rw-new
6,6,waveform-5000,0.61,0.5853658536585366,6,rw-new
7,7,waveform-5000,0.606,0.6829268292682927,7,rw-new
8,8,waveform-5000,0.538,0.7804878048780488,8,rw-new
9,9,waveform-5000,0.468,0.8780487804878049,9,rw-new
0,0,kr-vs-kp,0.8296875,0.0,0,rw-new
1,1,kr-vs-kp,0.81875,0.08108108108108109,1,rw-new
2,2,kr-vs-kp,0.81875,0.1891891891891892,2,rw-new
3,3,kr-vs-kp,0.70625,0.2702702702702703,3,rw-new
4,4,kr-vs-kp,0.7328124999999999,0.3783783783783784,4,rw-new
5,5,kr-vs-kp,0.6859375,0.4864864864864865,5,rw-new
6,6,kr-vs-kp,0.6890625,0.5675675675675675,6,rw-new
7,7,kr-vs-kp,0.6515625,0.6756756756756757,7,rw-new
8,8,kr-vs-kp,0.6375,0.7567567567567568,8,rw-new
9,9,kr-vs-kp,0.5796875,0.8648648648648649,9,rw-new
0,0,diabetes,0.6493506493506493,0.0,0,rw-new
1,1,diabetes,0.6363636363636364,0.1111111111111111,2,rw-new
2,2,diabetes,0.7012987012987013,0.2222222222222222,3,rw-new
3,3,diabetes,0.6298701298701299,0.3333333333333333,4,rw-new
4,4,diabetes,0.6428571428571429,0.4444444444444444,5,rw-new
5,5,diabetes,0.6168831168831169,0.5555555555555556,6,rw-new
6,6,diabetes,0.5844155844155844,0.6666666666666666,7,rw-new
7,7,diabetes,0.6688311688311688,0.7777777777777778,8,rw-new
0,0,letter,0.8087499999999999,0.0,0,rw-new
1,1,letter,0.72975,0.058823529411764705,1,rw-new
2,2,letter,0.5425,0.17647058823529413,2,rw-new
3,3,letter,0.4725,0.23529411764705882,3,rw-new
4,4,letter,0.273,0.35294117647058826,4,rw-new
5,5,letter,0.1135,0.47058823529411764,5,rw-new
6,6,letter,0.101,0.5294117647058824,6,rw-new
7,7,letter,0.052,0.6470588235294118,7,rw-new
8,8,letter,0.0365,0.7058823529411765,8,rw-new
9,9,letter,0.0365,0.8235294117647058,9,rw-new
0,0,balance-scale,0.64,0.0,0,rw-new
1,1,balance-scale,0.64,0.2,2,rw-new
2,2,balance-scale,0.64,0.4,4,rw-new
3,3,balance-scale,0.64,0.6,6,rw-new
