,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
0,0,glass,0.23968253968253966,0.0,0,weka
1,1,glass,0.08484848484848485,0.1,1,weka
2,2,glass,0.08484848484848485,0.2,2,weka
3,3,glass,0.07863247863247863,0.3,3,weka
4,4,glass,0.0,0.4,4,weka
5,5,glass,0.0,0.5,5,weka
6,6,glass,0.0,0.6,6,weka
7,7,glass,0.0,0.7,7,weka
8,8,glass,0.0,0.8,8,weka
0,0,credit-g,0.6904761904761905,0.0,0,weka
1,1,credit-g,0.5046620046620046,0.09523809523809523,1,weka
2,2,credit-g,0.4889196095680951,0.19047619047619047,2,weka
3,3,credit-g,0.4117647058823529,0.2857142857142857,3,weka
4,4,credit-g,0.4117647058823529,0.38095238095238093,4,weka
5,5,credit-g,0.4117647058823529,0.47619047619047616,5,weka
6,6,credit-g,0.4117647058823529,0.5714285714285714,6,weka
7,7,credit-g,0.4117647058823529,0.6666666666666666,7,weka
8,8,credit-g,0.4117647058823529,0.7619047619047619,8,weka
9,9,credit-g,0.4117647058823529,0.8571428571428571,9,weka
0,0,ionosphere,0.8929110105580693,0.0,0,weka
1,1,ionosphere,0.8929110105580693,0.08571428571428572,1,weka
2,2,ionosphere,0.9073913043478261,0.17142857142857143,2,weka
3,3,ionosphere,0.9220978714066271,0.2857142857142857,3,weka
4,4,ionosphere,0.9089743589743589,0.37142857142857144,4,weka
5,5,ionosphere,0.9073913043478261,0.4857142857142857,5,weka
6,6,ionosphere,0.7831806436457599,0.5714285714285714,6,weka
7,7,ionosphere,0.7831806436457599,0.6571428571428571,7,weka
8,8,ionosphere,0.7831806436457599,0.7714285714285715,8,weka
9,9,ionosphere,0.7831806436457599,0.8571428571428571,9,weka
0,0,lymph,0.6412162162162163,0.0,0,weka
1,1,lymph,0.6412162162162163,0.05263157894736842,1,weka
2,2,lymph,0.8473684210526317,0.15789473684210525,2,weka
3,3,lymph,0.7503586800573888,0.2631578947368421,3,weka
4,4,lymph,0.7503586800573888,0.3684210526315789,4,weka
5,5,lymph,0.7503586800573888,0.47368421052631576,5,weka
6,6,lymph,0.7503586800573888,0.5263157894736842,6,weka
7,7,lymph,0.7503586800573888,0.631578947368421,7,weka
8,8,lymph,0.7503586800573888,0.7368421052631579,8,weka
9,9,lymph,0.24113475177304963,0.8421052631578947,9,weka
0,0,vehicle,0.7364730153776806,0.0,0,weka
1,1,vehicle,0.7039817612106768,0.05263157894736842,1,weka
2,2,vehicle,0.6735008507891803,0.15789473684210525,2,weka
3,3,vehicle,0.6469218008374096,0.2631578947368421,3,weka
4,4,vehicle,0.6610906177481459,0.3684210526315789,4,weka
5,5,vehicle,0.6686087788615879,0.47368421052631576,5,weka
6,6,vehicle,0.6686087788615879,0.5263157894736842,6,weka
7,7,vehicle,0.49340961681115136,0.631578947368421,7,weka
8,8,vehicle,0.49116220735785954,0.7368421052631579,8,weka
9,9,vehicle,0.45006142182818676,0.8421052631578947,9,weka
0,0,iris,0.9665831244778613,0.0,0,weka
1,1,iris,0.9665831244778613,0.2,2,weka
2,2,iris,0.9665831244778613,0.4,4,weka
3,3,iris,0.4742501414827391,0.6,6,weka
0,0,splice,0.9344354736324355,0.0,0,weka
1,1,splice,0.871506123144119,0.0967741935483871,1,weka
2,2,splice,0.8162656560961948,0.1935483870967742,2,weka
3,3,splice,0.8120966737882162,0.2903225806451613,3,weka
4,4,splice,0.7845161029497228,0.3870967741935484,4,weka
5,5,splice,0.7875281672754258,0.4838709677419355,5,weka
6,6,splice,0.7688653576186123,0.5806451612903226,6,weka
7,7,splice,0.5875461341281214,0.6774193548387096,7,weka
8,8,splice,0.2277261781905745,0.7741935483870968,8,weka
9,9,splice,0.2277261781905745,0.8709677419354839,9,weka
0,0,sonar,0.7597254004576658,0.0,0,weka
1,1,sonar,0.7597254004576658,0.09836065573770492,1,weka
2,2,sonar,0.7142857142857143,0.19672131147540983,2,weka
3,3,sonar,0.7142857142857143,0.29508196721311475,3,weka
4,4,sonar,0.5851851851851853,0.39344262295081966,4,weka
5,5,sonar,0.5333333333333333,0.4918032786885246,5,weka
6,6,sonar,0.6155606407322655,0.5901639344262295,6,weka
7,7,sonar,0.6155606407322655,0.6885245901639344,7,weka
8,8,sonar,0.6155606407322655,0.7868852459016393,8,weka
9,9,sonar,0.6181818181818182,0.8852459016393442,9,weka
0,0,vowel,0.7755283729108665,0.0,0,weka
1,1,vowel,0.7364265356358092,0.07142857142857142,1,weka
2,2,vowel,0.7255424156607801,0.14285714285714285,2,weka
3,3,vowel,0.6945990157434466,0.21428571428571427,3,weka
4,4,vowel,0.6604598065124381,0.35714285714285715,4,weka
5,5,vowel,0.6301625437309725,0.42857142857142855,5,weka
6,6,vowel,0.6210206817989573,0.5,5,weka
7,7,vowel,0.1521701460390678,0.6428571428571429,7,weka
8,8,vowel,0.10492938434114904,0.7142857142857143,8,weka
9,9,vowel,0.05639316880696192,0.7857142857142857,8,weka
0,0,segment,0.9475020465436561,0.0,0,weka
1,1,segment,0.9413815783468491,0.05,1,weka
2,2,segment,0.7109088312644971,0.15,2,weka
3,3,segment,0.7109088312644971,0.25,3,weka
4,4,segment,0.7109088312644971,0.35,4,weka
5,5,segment,0.5276370180902733,0.45,5,weka
6,6,segment,0.5276370180902733,0.55,6,weka
7,7,segment,0.3887822334959929,0.65,7,weka
8,8,segment,0.3887822334959929,0.75,8,weka
9,9,segment,0.10450884738619634,0.85,9,weka
0,0,zoo,0.619047619047619,0.0,0,weka
1,1,zoo,0.619047619047619,0.05555555555555555,1,weka
2,2,zoo,0.4149659863945579,0.16666666666666666,2,weka
3,3,zoo,0.39455782312925175,0.2777777777777778,3,weka
4,4,zoo,0.39455782312925175,0.3333333333333333,4,weka
5,5,zoo,0.2424242424242424,0.4444444444444444,5,weka
6,6,zoo,0.19642857142857142,0.5555555555555556,6,weka
7,7,zoo,0.07881773399014778,0.6111111111111112,7,weka
8,8,zoo,0.07881773399014778,0.7222222222222222,8,weka
9,9,zoo,0.07881773399014778,0.8333333333333334,9,weka
0,0,heart-statlog,0.8137931034482759,0.0,0,weka
1,1,heart-statlog,0.7765517241379309,0.07142857142857142,1,weka
2,2,heart-statlog,0.758513931888545,0.14285714285714285,2,weka
3,3,heart-statlog,0.758513931888545,0.21428571428571427,3,weka
4,4,heart-statlog,0.758513931888545,0.35714285714285715,4,weka
5,5,heart-statlog,0.7765517241379309,0.42857142857142855,5,weka
6,6,heart-statlog,0.7765517241379309,0.5,5,weka
7,7,heart-statlog,0.7765517241379309,0.6428571428571429,7,weka
8,8,heart-statlog,0.7765517241379309,0.7142857142857143,8,weka
9,9,heart-statlog,0.7765517241379309,0.7857142857142857,8,weka
0,0,waveform-5000,0.7552178959016255,0.0,0,weka
1,1,waveform-5000,0.7482917654176516,0.0975609756097561,1,weka
2,2,waveform-5000,0.7358050823554733,0.1951219512195122,2,weka
3,3,waveform-5000,0.7358291332393612,0.2926829268292683,3,weka
4,4,waveform-5000,0.7438774906034608,0.3902439024390244,4,weka
5,5,waveform-5000,0.6720910295378381,0.4878048780487805,5,weka
6,6,waveform-5000,0.6770296784343683,0.5853658536585366,6,weka
7,7,waveform-5000,0.6391467897555428,0.6829268292682927,7,weka
8,8,waveform-5000,0.6115241291314911,0.7804878048780488,8,weka
9,9,waveform-5000,0.6509266030587563,0.8780487804878049,9,weka
0,0,kr-vs-kp,0.9906117978407135,0.0,0,weka
1,1,kr-vs-kp,0.9859124271469486,0.08108108108108109,1,weka
2,2,kr-vs-kp,0.9780701754385965,0.1891891891891892,2,weka
3,3,kr-vs-kp,0.8179435340492325,0.2702702702702703,3,weka
4,4,kr-vs-kp,0.7976931966750878,0.3783783783783784,4,weka
5,5,kr-vs-kp,0.7081652276489656,0.4864864864864865,5,weka
6,6,kr-vs-kp,0.7081652276489656,0.5675675675675675,6,weka
7,7,kr-vs-kp,0.6562773833293503,0.6756756756756757,7,weka
8,8,kr-vs-kp,0.6562773833293503,0.7567567567567568,8,weka
9,9,kr-vs-kp,0.4981350787491572,0.8648648648648649,9,weka
0,0,diabetes,0.6979263964132262,0.0,0,weka
1,1,diabetes,0.6075310760909138,0.1111111111111111,2,weka
2,2,diabetes,0.3937007874015748,0.2222222222222222,3,weka
3,3,diabetes,0.3937007874015748,0.3333333333333333,4,weka
4,4,diabetes,0.3937007874015748,0.4444444444444444,5,weka
5,5,diabetes,0.3937007874015748,0.5555555555555556,6,weka
6,6,diabetes,0.3937007874015748,0.6666666666666666,7,weka
7,7,diabetes,0.3937007874015748,0.7777777777777778,8,weka
0,0,letter,0.872858256629746,0.0,0,weka
1,1,letter,0.8704877610732213,0.058823529411764705,1,weka
2,2,letter,0.5451150194479928,0.17647058823529413,2,weka
3,3,letter,0.3966217782307633,0.23529411764705882,3,weka
4,4,letter,0.2642047349006783,0.35294117647058826,4,weka
5,5,letter,0.24225567723118646,0.47058823529411764,5,weka
6,6,letter,0.24889971169191505,0.5294117647058824,6,weka
7,7,letter,0.23646638867579295,0.6470588235294118,7,weka
8,8,letter,0.14797012816798466,0.7058823529411765,8,weka
9,9,letter,0.03891550956886442,0.8235294117647058,9,weka
0,0,balance-scale,0.5380530973451327,0.0,0,weka
1,1,balance-scale,0.4486449769283021,0.2,2,weka
2,2,balance-scale,0.4110275689223058,0.4,4,weka
3,3,balance-scale,0.42233953876076685,0.6,6,weka
